TISSUE protein_coding antisense lincRNA transcribed_unprocessed_pseudogene unprocessed_pseudogene processed_pseudogene processed_transcript TEC snoRNA transcribed_processed_pseudogene sense_intronic transcribed_unitary_pseudogene unitary_pseudogene IG_V_gene 3prime_overlapping_ncRNA IG_C_gene IG_C_pseudogene IG_V_pseudogene misc_RNA polymorphic_pseudogene TR_V_gene sense_overlapping TR_V_pseudogene transcription_factors
aa	150	19	18	11	1	6	5	3	1	1	2	0	0	2	0	0	1	0	0	0	0	1	0	1
ac	40	7	4	4	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ag	271	36	37	20	9	4	12	6	0	5	2	1	0	0	0	0	0	0	0	1	0	1	0	19
as	47	4	6	3	5	1	1	5	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	5
at	32	5	4	2	0	0	0	0	2	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1
av	379	48	52	23	15	14	10	8	1	9	6	4	0	0	1	0	0	0	0	2	0	1	0	14
bam	5	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ban	5	1	3	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bceh	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bco	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bhy	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bnu	4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
bpu	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
br	47	4	6	3	1	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
cols	21	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
colt	517	85	76	32	20	22	19	9	2	7	7	3	2	5	1	1	1	3	2	1	3	2	0	45
ebv	10	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
esog	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esom	10	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
esomu	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fib	60	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
haa	27	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
hlv	23	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
liv	66	8	14	6	1	2	1	0	0	2	1	1	0	1	0	2	1	0	0	0	0	1	0	1
lu	71	13	14	4	1	4	2	4	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	6
ms	336	34	25	10	7	9	4	6	0	1	3	2	1	0	0	2	1	0	0	0	0	2	0	11
msg	13	3	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
nt	69	7	6	1	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ov	3	1	2	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pan	39	1	1	5	5	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2
pit	28	4	5	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
pro	97	18	17	7	12	4	3	2	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	7
si	149	21	20	11	4	3	6	6	0	2	1	1	1	1	0	0	0	0	0	0	0	0	1	8
snse	135	9	17	8	12	5	2	3	3	3	3	1	0	0	0	0	0	0	0	0	0	0	0	10
spl	327	29	45	11	9	15	6	9	0	5	5	1	2	14	0	1	1	4	0	0	0	1	0	25
sse	115	15	12	9	2	3	2	5	2	0	4	0	0	0	1	0	0	0	0	0	0	2	0	3
sto	16	2	5	0	0	1	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
tes	173	31	40	16	11	16	6	3	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	10
thy	94	14	12	9	4	6	3	2	0	2	5	2	1	0	1	0	0	0	0	0	0	0	0	2
ut	17	4	3	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
va	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
wb	966	83	82	45	21	22	15	16	0	7	8	7	1	18	1	0	0	4	1	1	2	3	0	69
all	2548	299	311	102	82	102	49	45	4	31	33	14	6	25	3	4	1	5	3	4	5	11	1	175
