TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
ag	3480	0.1235632183908046	1.1513944790655162	0.04795204795204795
haa	64	0.234375	2.18396772555305	0.000999000999000999
liv	1807	0.11676812396236856	1.088076006857347	0.17082917082917082
msg	374	0.12566844919786097	1.1710115719186407	0.029970029970029972
pan	179	0.12290502793296089	1.1452612877388062	0.053946053946053944
pit	381	0.10236220472440945	0.9538378727874738	0.6883116883116883
si	2786	0.13316582914572864	1.240874124803341	0.001998001998001998
spl	1354	0.11299852289512555	1.052949875362652	0.3016983016983017
va	184	0.20108695652173914	1.8737810051121822	0.000999000999000999
wb	6269	0.134630722603286	1.2545243862761053	0.000999000999000999
