TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	1439	0.13620569840166782	1.2692004238747954	0.000999000999000999
ac	1817	0.1518987341772152	1.41543224744704	0.000999000999000999
ag	25	0.0	0	1.0
as	263	0.08365019011406843	0.7794744125674764	0.996003996003996
at	125	0.184	1.7145602624075145	0.000999000999000999
av	263	0.10646387832699619	0.9920583432676973	0.5314685314685315
bam	804	0.14054726368159204	1.3096562679270032	0.000999000999000999
ban	596	0.12248322147651007	1.1413307845395806	0.053946053946053944
bce	9	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	2	0.0	0	1.0
bhi	3	0.3333333333333333	3.106087431897671	0.000999000999000999
bhy	13	0.0	0	1.0
bnu	171	0.13450292397660818	1.253333525151692	0.000999000999000999
br	293	0.24232081911262798	2.258008952198648	0.000999000999000999
bsp	1	0.0	0	1.0
cols	36	0.027777777777777776	0.2588406193248059	1.0
colt	964	0.14522821576763487	1.3532746072583215	0.000999000999000999
ebv	99	0.09090909090909091	0.8471147541539104	0.968031968031968
esom	301	0.0	0	1.0
fib	109	0.027522935779816515	0.25646593474384444	1.0
hlv	137	0.051094890510948905	0.4761155917507379	1.0
liv	1	0.0	0	1.0
lu	326	0.10736196319018405	1.0004269335866733	0.4885114885114885
ms	3140	0.11528662420382166	1.0742710035162009	0.1968031968031968
nt	469	0.1044776119402985	0.9735497920873297	0.6173826173826173
ov	30	0.03333333333333333	0.3106087431897671	1.0
pro	1223	0.15208503679476695	1.4171682641037615	0.000999000999000999
si	6	0.16666666666666666	1.5530437159488355	0.000999000999000999
snse	624	0.11858974358974358	1.1050503363482098	0.12187812187812187
sse	285	0.23859649122807017	2.2233046880951752	0.000999000999000999
sto	107	0.205607476635514	1.9159043972452925	0.000999000999000999
tes	1074	0.13221601489757914	1.2320235065068976	0.003996003996003996
thy	993	0.25075528700906347	2.336603536382236	0.000999000999000999
ut	2530	0.12490118577075099	1.1638620100549377	0.03796203796203796
