TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	1447	0.13614374568071874	1.2686231321710602	0.000999000999000999
ac	1823	0.15139879319802524	1.4107736662705825	0.000999000999000999
ag	12689	0.10079596500906297	0.9392432403019438	0.7592407592407593
as	263	0.08365019011406843	0.7794744125674764	0.996003996003996
at	125	0.184	1.7145602624075145	0.000999000999000999
av	4361	0.10869066727814722	1.0128081467916736	0.45854145854145856
bam	808	0.13985148514851486	1.3031728210560776	0.000999000999000999
ban	606	0.12211221122112212	1.1378736136654837	0.053946053946053944
bce	9	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	2	0.0	0	1.0
bhi	3	0.3333333333333333	3.106087431897671	0.000999000999000999
bhy	95	0.05263157894736842	0.49043485766805334	1.0
bnu	171	0.13450292397660818	1.253333525151692	0.000999000999000999
bpu	1	0.0	0	1.0
br	302	0.23509933774834438	2.190717294682795	0.000999000999000999
bsp	1	0.0	0	1.0
cols	56	0.017857142857142856	0.1663975409945181	1.0
colt	11386	0.12857895661338486	1.198132443430052	0.015984015984015984
ebv	105	0.08571428571428572	0.7987081967736869	0.993006993006993
esom	301	0.0	0	1.0
fib	109	0.027522935779816515	0.25646593474384444	1.0
haa	115	0.11304347826086956	1.0533687812522536	0.2627372627372627
hlv	137	0.051094890510948905	0.4761155917507379	1.0
liv	2483	0.18163511880789368	1.6925236791613167	0.000999000999000999
lu	326	0.10736196319018405	1.0004269335866733	0.4885114885114885
ms	3109	0.11611450627211321	1.0819854257784425	0.17082917082917082
msg	358	0.1005586592178771	0.9370319626953869	0.7592407592407593
nt	469	0.1044776119402985	0.9735497920873297	0.6173826173826173
ov	56	0.05357142857142857	0.49919262298355427	1.0
pan	81	0.07407407407407407	0.6902416515328158	1.0
pit	263	0.07604562737642585	0.7086131023340695	1.0
pro	8020	0.11084788029925187	1.032909623550011	0.37162837162837165
si	14311	0.13080846900985257	1.2189076247318373	0.00999000999000999
snse	624	0.11858974358974358	1.1050503363482098	0.12187812187812187
spl	6910	0.13299565846599132	1.2392884297745121	0.003996003996003996
sse	284	0.23943661971830985	2.231133225729313	0.000999000999000999
sto	107	0.205607476635514	1.9159043972452925	0.000999000999000999
tes	1083	0.13204062788550322	1.2303892043251161	0.003996003996003996
thy	993	0.25075528700906347	2.336603536382236	0.000999000999000999
ut	2577	0.12689173457508732	1.1824104659261216	0.023976023976023976
va	22	0.0	0	1.0
wb	10052	0.11848388380421807	1.1040639071001173	0.12187812187812187
