TISSUE	N_TRANSEQTLS	CISTF_FRAC	ENRICHMENT	P_VALUE
aa	368	0.11413043478260869	1.063497327225833	0.22277722277722278
ac	431	0.12529002320185614	1.167485299228359	0.029970029970029972
ag	2444	0.12111292962356793	1.1285620456322145	0.06693306693306693
as	85	0.11764705882352941	1.0962661524344721	0.14985014985014986
at	46	0.2391304347826087	2.2282801141874597	0.000999000999000999
av	1062	0.10922787193973635	1.0178139607348302	0.4125874125874126
bam	225	0.13333333333333333	1.2424349727590684	0.001998001998001998
ban	183	0.1366120218579235	1.2729866524170785	0.000999000999000999
bce	1	0.0	0	1.0
bceh	6	0.0	0	1.0
bfr	1	0.0	0	1.0
bhi	3	0.3333333333333333	3.106087431897671	0.000999000999000999
bhy	41	0.12195121951219512	1.13637345069427	0.06693306693306693
bnu	56	0.17857142857142858	1.6639754099451811	0.000999000999000999
bpu	1	0.0	0	1.0
br	86	0.16279069767441862	1.5169264202290953	0.000999000999000999
bsp	1	0.0	0	1.0
cols	19	0.05263157894736842	0.49043485766805334	1.0
colt	2171	0.1432519576232151	1.3348593155046187	0.000999000999000999
ebv	44	0.09090909090909091	0.8471147541539104	0.968031968031968
esom	2	0.0	0	1.0
fib	29	0.10344827586206896	0.963958168519967	0.6473526473526473
haa	24	0.20833333333333334	1.9413046449360447	0.000999000999000999
hlv	32	0.03125	0.2911956967404067	1.0
liv	525	0.13714285714285715	1.2779331148378992	0.000999000999000999
lu	96	0.08333333333333333	0.7765218579744178	0.996003996003996
ms	659	0.13353566009104703	1.244320306556882	0.001998001998001998
msg	66	0.07575757575757576	0.7059289617949253	1.0
nt	159	0.12578616352201258	1.1721084648670457	0.029970029970029972
ov	14	0.14285714285714285	1.3311803279561447	0.000999000999000999
pan	25	0.16	1.4909219673108822	0.000999000999000999
pit	74	0.08108108108108109	0.755534780731866	0.999000999000999
pro	1635	0.11192660550458716	1.0429614679583006	0.33466533466533466
si	2855	0.12679509632224167	1.1815099653383085	0.023976023976023976
snse	159	0.12578616352201258	1.1721084648670457	0.029970029970029972
spl	1557	0.11560693641618497	1.077255756727516	0.1968031968031968
sse	74	0.16216216216216217	1.511069561463732	0.000999000999000999
sto	31	0.12903225806451613	1.2023564252507115	0.013986013986013986
tes	320	0.125	1.1647827869616267	0.03796203796203796
thy	226	0.168141592920354	1.566787465647498	0.000999000999000999
ut	512	0.130859375	1.219381980100453	0.00999000999000999
va	9	0.0	0	1.0
wb	2069	0.12759787336877718	1.188990452422888	0.02097902097902098
