TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
ag	3480	0.17183908045977012	1.2427903004220917	0.003996003996003996
haa	64	0.21875	1.5820637394587247	0.000999000999000999
liv	1807	0.15993359158826784	1.156686335877483	0.025974025974025976
msg	374	0.16844919786096257	1.2182736817222264	0.003996003996003996
pan	179	0.17318435754189945	1.252519736267402	0.002997002997002997
pit	381	0.17585301837270342	1.2718202689911908	0.002997002997002997
si	2786	0.1769562096195262	1.279798869536501	0.002997002997002997
spl	1354	0.17355982274741508	1.2552352100368864	0.002997002997002997
va	184	0.16847826086956522	1.2184838738688313	0.003996003996003996
wb	6269	0.16812888817993302	1.2159571087770633	0.003996003996003996
