TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	1439	0.16330785267546907	1.1810899752536095	0.011988011988011988
ac	1817	0.13813979086406164	0.9990672187540275	0.4865134865134865
ag	25	0.2	1.4464582760765483	0.000999000999000999
as	263	0.2509505703422053	1.814947646788064	0.000999000999000999
at	125	0.216	1.5621749381626722	0.000999000999000999
av	263	0.21292775665399238	1.539955579092903	0.000999000999000999
bam	804	0.16666666666666666	1.2053818967304568	0.007992007992007992
ban	596	0.1476510067114094	1.0678551031437604	0.19880119880119881
bce	9	0.2222222222222222	1.6071758623072756	0.000999000999000999
bceh	6	0.0	0	1.0
bfr	2	0.0	0	1.0
bhi	3	0.0	0	1.0
bhy	13	0.3076923076923077	2.2253204247331513	0.000999000999000999
bnu	171	0.19298245614035087	1.39570535410895	0.000999000999000999
br	293	0.17406143344709898	1.2588630047765181	0.002997002997002997
bsp	1	0.0	0	1.0
cols	36	0.3055555555555556	2.2098668106725046	0.000999000999000999
colt	964	0.12655601659751037	0.9152899879737494	0.8401598401598401
ebv	99	0.16161616161616163	1.1688551725871097	0.01998001998001998
esom	301	0.10631229235880399	0.7688814756553081	0.997002997002997
fib	109	0.1559633027522936	1.1279720501514368	0.05094905094905095
hlv	137	0.0948905109489051	0.6862758244158805	1.0
liv	1	0.0	0	1.0
lu	326	0.20245398773006135	1.4642062303842358	0.000999000999000999
ms	3140	0.15636942675159235	1.1309092572509318	0.04395604395604396
nt	469	0.1791044776119403	1.2953357696207894	0.000999000999000999
ov	30	0.06666666666666667	0.4821527586921827	1.0
pro	1223	0.1381847914963205	0.9993926764388251	0.4865134865134865
si	6	0.16666666666666666	1.2053818967304568	0.007992007992007992
snse	624	0.18108974358974358	1.3096937916398232	0.000999000999000999
sse	285	0.24210526315789474	1.7509758078821374	0.000999000999000999
sto	107	0.16822429906542055	1.2166471481017695	0.003996003996003996
tes	1074	0.1685288640595903	1.2188498508838697	0.003996003996003996
thy	993	0.11883182275931521	0.859426367457365	0.964035964035964
ut	2530	0.1549407114624506	1.1205763719802508	0.060939060939060936
