TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	1447	0.1630960608154803	1.1795582348101776	0.011988011988011988
ac	1823	0.1387822270981898	1.003713504792558	0.4865134865134865
ag	12689	0.13949089762786665	1.0088388165558713	0.4565434565434565
as	263	0.2509505703422053	1.814947646788064	0.000999000999000999
at	125	0.216	1.5621749381626722	0.000999000999000999
av	4361	0.14904838339830315	1.0779613385115299	0.15284715284715283
bam	808	0.1670792079207921	1.2083655152867203	0.005994005994005994
ban	606	0.14521452145214522	1.0502337318047545	0.24275724275724275
bce	9	0.2222222222222222	1.6071758623072756	0.000999000999000999
bceh	6	0.0	0	1.0
bfr	2	0.0	0	1.0
bhi	3	0.0	0	1.0
bhy	95	0.23157894736842105	1.67484642493074	0.000999000999000999
bnu	171	0.19298245614035087	1.39570535410895	0.000999000999000999
bpu	1	0.0	0	1.0
br	302	0.17218543046357615	1.2452952045692136	0.003996003996003996
bsp	1	0.0	0	1.0
cols	56	0.23214285714285715	1.678924784731708	0.000999000999000999
colt	11386	0.1397330054452837	1.0105898108368998	0.4565434565434565
ebv	105	0.1523809523809524	1.1020634484392748	0.0959040959040959
esom	301	0.10631229235880399	0.7688814756553081	0.997002997002997
fib	109	0.1559633027522936	1.1279720501514368	0.05094905094905095
haa	115	0.14782608695652175	1.0691213344913617	0.19880119880119881
hlv	137	0.0948905109489051	0.6862758244158805	1.0
liv	2483	0.13854208618606526	1.0019767357437226	0.4865134865134865
lu	326	0.20245398773006135	1.4642062303842358	0.000999000999000999
ms	3109	0.15599871341267288	1.1282281503652716	0.05094905094905095
msg	358	0.08659217877094973	0.626259868133701	1.0
nt	469	0.1791044776119403	1.2953357696207894	0.000999000999000999
ov	56	0.07142857142857142	0.5165922414559101	1.0
pan	81	0.08641975308641975	0.6250128353417184	1.0
pit	263	0.09885931558935361	0.7149793760074192	1.0
pro	8020	0.14114713216957606	1.0208171873557683	0.3786213786213786
si	14311	0.14261756690657537	1.031451799829584	0.34265734265734266
snse	624	0.18108974358974358	1.3096937916398232	0.000999000999000999
spl	6910	0.14037626628075253	1.015242060632599	0.4155844155844156
sse	284	0.24295774647887325	1.7571412156563702	0.000999000999000999
sto	107	0.16822429906542055	1.2166471481017695	0.003996003996003996
tes	1083	0.1680517082179132	1.2153989208030092	0.003996003996003996
thy	993	0.11883182275931521	0.859426367457365	0.964035964035964
ut	2577	0.153279006596818	1.1085584382037963	0.08191808191808192
va	22	0.18181818181818182	1.3149620691604984	0.000999000999000999
wb	10052	0.1387783525666534	1.0036854830515245	0.4865134865134865
