TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
aa	1299	0.18244803695150116	1.3195173650120937	0.000999000999000999
ac	1549	0.1697869593285991	1.2279487624536223	0.003996003996003996
ag	5942	0.17384718949848535	1.2573135301136606	0.002997002997002997
as	587	0.17717206132879046	1.2813599719928537	0.002997002997002997
at	391	0.16624040920716113	1.202299078580251	0.007992007992007992
av	3534	0.16468590831918506	1.1910564752073445	0.00999000999000999
bam	1193	0.17267393126571667	1.2488281847098446	0.003996003996003996
ban	959	0.15954118873826903	1.1538483641277992	0.025974025974025976
bca	19	0.15789473684210525	1.141940744270959	0.03596403596403597
bce	41	0.17073170731707318	1.2347814551872973	0.003996003996003996
bceh	129	0.11627906976744186	0.8409641139979931	0.973026973026973
bco	64	0.15625	1.1300455281848032	0.04395604395604396
bfr	32	0.0625	0.45201821127392133	1.0
bhi	51	0.1568627450980392	1.1344770792757242	0.04395604395604396
bhy	268	0.15671641791044777	1.133418798418191	0.04395604395604396
bnu	379	0.1820580474934037	1.3166968476158554	0.000999000999000999
bpu	22	0.2727272727272727	1.9724431037407475	0.000999000999000999
br	510	0.17647058823529413	1.2762867141851897	0.002997002997002997
bsp	63	0.14285714285714285	1.0331844829118202	0.34265734265734266
bsu	51	0.13725490196078433	0.9926674443662586	0.5164835164835165
cols	113	0.168141592920354	1.2160489931617	0.003996003996003996
colt	5687	0.16247582205029013	1.1750724873349134	0.015984015984015984
ebv	306	0.16993464052287582	1.2290168358820346	0.003996003996003996
esog	18	0.2222222222222222	1.6071758623072756	0.000999000999000999
esom	8	0.375	2.712109267643528	0.000999000999000999
esomu	20	0.0	0	1.0
fib	210	0.16666666666666666	1.2053818967304568	0.007992007992007992
haa	151	0.19205298013245034	1.3889831127887384	0.000999000999000999
hlv	247	0.15789473684210525	1.141940744270959	0.03596403596403597
kc	14	0.21428571428571427	1.54977672436773	0.000999000999000999
liv	2006	0.16450648055832504	1.1897588013590752	0.00999000999000999
lu	477	0.18658280922431866	1.3494212428806374	0.000999000999000999
ms	2232	0.1774193548387097	1.283148470713067	0.002997002997002997
msg	427	0.1756440281030445	1.2703087904653527	0.002997002997002997
nt	721	0.15117891816920942	1.0933699867707611	0.1068931068931069
ov	124	0.1935483870967742	1.3997983316869822	0.000999000999000999
pan	215	0.15813953488372093	1.1437111950372707	0.030969030969030968
pit	479	0.17745302713987474	1.2833919986065407	0.002997002997002997
pro	4027	0.1636453935932456	1.1835311695237711	0.011988011988011988
si	6611	0.17667523823929815	1.2777668026451432	0.002997002997002997
snse	725	0.1724137931034483	1.2469467897211624	0.003996003996003996
spl	4069	0.16465962152863112	1.1908663614786033	0.00999000999000999
sse	399	0.17543859649122806	1.2688230491899546	0.002997002997002997
sto	252	0.17857142857142858	1.2914806036397752	0.001998001998001998
tes	1300	0.16615384615384615	1.2016730293559015	0.007992007992007992
thy	999	0.16616616616616617	1.20176213127481	0.007992007992007992
ut	1696	0.18691037735849056	1.3517903110738967	0.000999000999000999
va	94	0.10638297872340426	0.7693927000407171	0.997002997002997
wb	5890	0.16791171477079797	1.2143864474021275	0.005994005994005994
