TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	3	0.0007501875468867217	0.8317049067868089	0.5694305694305695
ac	3396	5	0.0014723203769140165	1.6323065970948414	0.21578421578421578
ag	281	0	0.0	0	1.0
as	1646	0	0.0	0	1.0
at	1068	0	0.0	0	1.0
av	514	0	0.0	0	1.0
bam	5139	0	0.0	0	1.0
ban	2842	2	0.0007037297677691766	0.7801989027071191	0.5694305694305695
bca	56	0	0.0	0	1.0
bce	57	0	0.0	0	1.0
bceh	475	0	0.0	0	1.0
bco	160	0	0.0	0	1.0
bfr	90	0	0.0	0	1.0
bhi	295	0	0.0	0	1.0
bhy	781	0	0.0	0	1.0
bnu	921	0	0.0	0	1.0
bpu	74	0	0.0	0	1.0
br	812	0	0.0	0	1.0
bsp	338	0	0.0	0	1.0
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	0	0.0	0	1.0
ebv	396	0	0.0	0	1.0
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	0	0.0	0	1.0
liv	133	0	0.0	0	1.0
lu	1076	3	0.0027881040892193307	3.0910668422309002	0.054945054945054944
ms	3668	3	0.0008178844056706652	0.90675788501648	0.5694305694305695
msg	64	0	0.0	0	1.0
nt	2117	0	0.0	0	1.0
ov	191	0	0.0	0	1.0
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	0	0.0	0	1.0
si	201	0	0.0	0	1.0
snse	1449	3	0.002070393374741201	2.2953677862252926	0.054945054945054944
spl	13	0	0.0	0	1.0
sse	376	0	0.0	0	1.0
sto	315	0	0.0	0	1.0
tes	1741	0	0.0	0	1.0
thy	2971	0	0.0	0	1.0
ut	4682	7	0.00149508756941478	1.657547732855129	0.21578421578421578
va	170	0	0.0	0	1.0
