TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	226	0.056514128532133036	1.3816478495082902	0.014985014985014986
ac	3396	149	0.04387514723203769	1.0726521737929113	0.33966033966033965
ag	281	14	0.0498220640569395	1.2180413898304276	0.0979020979020979
as	1646	62	0.03766707168894289	0.9208781936133358	0.7012987012987013
at	1068	27	0.025280898876404494	0.6180631370146772	0.999000999000999
av	514	30	0.058365758754863814	1.4269161918107984	0.00999000999000999
bam	5139	282	0.05487448920023351	1.3415622246260077	0.024975024975024976
ban	2842	80	0.028149190710767064	0.688186650331457	0.975024975024975
bca	56	2	0.03571428571428571	0.8731368126080361	0.8031968031968032
bce	57	1	0.017543859649122806	0.4289093114565791	1.0
bceh	475	18	0.037894736842105266	0.926444112746211	0.6993006993006993
bco	160	8	0.05	1.2223915376512506	0.09490509490509491
bfr	90	2	0.022222222222222223	0.5432851278450003	1.0
bhi	295	8	0.02711864406779661	0.6629920204210172	0.984015984015984
bhy	781	28	0.03585147247119078	0.8764907312224076	0.8031968031968032
bnu	921	39	0.04234527687296417	1.0352501621802122	0.4065934065934066
bpu	74	1	0.013513513513513514	0.3303760912570948	1.0
br	812	28	0.034482758620689655	0.8430286466560348	0.8581418581418582
bsp	338	11	0.03254437869822485	0.7956394623765536	0.9210789210789211
bsu	175	5	0.02857142857142857	0.6985094500864288	0.975024975024975
cols	55	2	0.03636363636363636	0.8890120273827277	0.7522477522477522
colt	2310	118	0.05108225108225108	1.2488502289424033	0.059940059940059943
ebv	396	34	0.08585858585858586	2.0990561757647734	0.000999000999000999
esog	43	1	0.023255813953488372	0.5685542035587212	1.0
esom	90	4	0.044444444444444446	1.0865702556900005	0.2887112887112887
esomu	33	1	0.030303030303030304	0.740843356152273	0.955044955044955
hlv	336	16	0.047619047619047616	1.1641824168107147	0.15884115884115885
liv	133	7	0.05263157894736842	1.2867279343697373	0.04495504495504495
lu	1076	36	0.03345724907063197	0.8179571627406137	0.8911088911088911
ms	3668	163	0.04443838604143947	1.0864221408787014	0.2887112887112887
msg	64	2	0.03125	0.7639947110320316	0.936063936063936
nt	2117	76	0.03589985829003307	0.8776736595323104	0.8021978021978022
ov	191	3	0.015706806282722512	0.3839973416705499	1.0
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	30	0.04126547455295736	1.0088513378139619	0.4645354645354645
si	201	5	0.024875621890547265	0.6081549938563436	1.0
snse	1449	59	0.04071773636991028	0.9954603274178575	0.5204795204795205
spl	13	0	0.0	0	1.0
sse	376	19	0.05053191489361702	1.2353957029454128	0.07992007992007992
sto	315	37	0.11746031746031746	2.8716499614664297	0.000999000999000999
tes	1741	75	0.0430786904078116	1.05318053215214	0.34965034965034963
thy	2971	82	0.027600134634803097	0.6747634203123699	0.984015984015984
ut	4682	265	0.05659974369927381	1.38374095462444	0.014985014985014986
va	170	4	0.023529411764705882	0.575243076541765	1.0
