TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	211	0.05276319079769942	0.6975294502327343	0.997002997002997
ac	3396	179	0.05270906949352179	0.6968139665218714	0.997002997002997
ag	281	4	0.014234875444839857	0.18818507169592041	1.0
as	1646	108	0.06561360874848117	0.8674119920759102	0.8861138861138861
at	1068	50	0.04681647940074907	0.6189139179137833	1.0
av	514	40	0.07782101167315175	1.0287938744465688	0.4255744255744256
bam	5139	387	0.07530647985989491	0.9955517606400203	0.5284715284715285
ban	2842	193	0.06790992258972554	0.8977692640116866	0.8341658341658341
bca	56	7	0.125	1.6525001608298013	0.000999000999000999
bce	57	6	0.10526315789473684	1.391579082804043	0.000999000999000999
bceh	475	31	0.06526315789473684	0.8627790313385068	0.8861138861138861
bco	160	11	0.06875	0.9088750884563908	0.8141858141858141
bfr	90	4	0.044444444444444446	0.5875556127394849	1.0
bhi	295	25	0.0847457627118644	1.1203390920880008	0.16383616383616384
bhy	781	48	0.06145966709346991	0.8124968780520405	0.9530469530469531
bnu	921	42	0.04560260586319218	0.6028665081854649	1.0
bpu	74	2	0.02702702702702703	0.35729733207130837	1.0
br	812	30	0.03694581280788178	0.48842369285609893	1.0
bsp	338	22	0.0650887573964497	0.8604734565267604	0.8921078921078921
bsu	175	9	0.05142857142857143	0.6798857804556896	0.999000999000999
cols	55	0	0.0	0	1.0
colt	2310	131	0.05670995670995671	0.7497057006708362	0.988011988011988
ebv	396	23	0.05808080808080808	0.7678283575572814	0.978021978021978
esog	43	1	0.023255813953488372	0.30744189038693975	1.0
esom	90	1	0.011111111111111112	0.14688890318487122	1.0
esomu	33	3	0.09090909090909091	1.20181829878531	0.03296703296703297
hlv	336	14	0.041666666666666664	0.550833386943267	1.0
liv	133	5	0.03759398496240601	0.49699252957287254	1.0
lu	1076	71	0.06598513011152417	0.8723235049733524	0.8771228771228772
ms	3668	216	0.05888767720828789	0.7784951684607133	0.9760239760239761
msg	64	8	0.125	1.6525001608298013	0.000999000999000999
nt	2117	218	0.10297590930562116	1.361341653513072	0.000999000999000999
ov	191	14	0.07329842931937172	0.9690053299106687	0.6343656343656343
pan	1	0	0.0	0	1.0
pit	60	2	0.03333333333333333	0.4406667095546137	1.0
pro	727	72	0.09903713892709766	1.309271104041218	0.002997002997002997
si	201	15	0.07462686567164178	0.9865672601968962	0.5824175824175825
snse	1449	64	0.04416839199447895	0.5839061989957613	1.0
spl	13	1	0.07692307692307693	1.0169231758952624	0.4775224775224775
sse	376	18	0.047872340425531915	0.6328724020199239	1.0
sto	315	9	0.02857142857142857	0.3777143224753831	1.0
tes	1741	121	0.06950028719126938	0.9187938860903202	0.7812187812187812
thy	2971	226	0.07606866374957927	1.0056278326423025	0.4965034965034965
ut	4682	268	0.05724049551473729	0.756719424352647	0.985014985014985
va	170	14	0.08235294117647059	1.0887059883113985	0.2217782217782218
