TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	0	0.0	0	1.0
ac	3396	0	0.0	0	1.0
ag	281	0	0.0	0	1.0
as	1646	0	0.0	0	1.0
at	1068	0	0.0	0	1.0
av	514	0	0.0	0	1.0
bam	5139	0	0.0	0	1.0
ban	2842	0	0.0	0	1.0
bca	56	0	0.0	0	1.0
bce	57	0	0.0	0	1.0
bceh	475	0	0.0	0	1.0
bco	160	0	0.0	0	1.0
bfr	90	0	0.0	0	1.0
bhi	295	0	0.0	0	1.0
bhy	781	0	0.0	0	1.0
bnu	921	0	0.0	0	1.0
bpu	74	0	0.0	0	1.0
br	812	0	0.0	0	1.0
bsp	338	0	0.0	0	1.0
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	0	0.0	0	1.0
ebv	396	0	0.0	0	1.0
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	0	0.0	0	1.0
liv	133	0	0.0	0	1.0
lu	1076	0	0.0	0	1.0
ms	3668	0	0.0	0	1.0
msg	64	0	0.0	0	1.0
nt	2117	0	0.0	0	1.0
ov	191	1	0.005235602094240838	104.71338210553353	0.000999000999000999
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	0	0.0	0	1.0
si	201	0	0.0	0	1.0
snse	1449	0	0.0	0	1.0
spl	13	0	0.0	0	1.0
sse	376	0	0.0	0	1.0
sto	315	0	0.0	0	1.0
tes	1741	0	0.0	0	1.0
thy	2971	0	0.0	0	1.0
ut	4682	0	0.0	0	1.0
va	170	0	0.0	0	1.0
