TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	0	0.0	0	1.0
ac	3396	1	0.0002944640753828033	1.5023901124419825	0.15384615384615385
ag	281	0	0.0	0	1.0
as	1646	1	0.0006075334143377885	3.0997064531306027	0.15384615384615385
at	1068	1	0.0009363295880149813	4.7772629418099	0.15384615384615385
av	514	0	0.0	0	1.0
bam	5139	4	0.0007783615489394824	3.971291552327669	0.15384615384615385
ban	2842	1	0.0003518648838845883	1.795255743086901	0.15384615384615385
bca	56	0	0.0	0	1.0
bce	57	0	0.0	0	1.0
bceh	475	0	0.0	0	1.0
bco	160	0	0.0	0	1.0
bfr	90	0	0.0	0	1.0
bhi	295	0	0.0	0	1.0
bhy	781	0	0.0	0	1.0
bnu	921	1	0.0010857763300760044	5.5397576784505675	0.013986013986013986
bpu	74	0	0.0	0	1.0
br	812	0	0.0	0	1.0
bsp	338	0	0.0	0	1.0
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	1	0.0004329004329004329	2.208708580888733	0.15384615384615385
ebv	396	0	0.0	0	1.0
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	0	0.0	0	1.0
liv	133	0	0.0	0	1.0
lu	1076	0	0.0	0	1.0
ms	3668	3	0.0008178844056706652	4.1729417845035215	0.15384615384615385
msg	64	0	0.0	0	1.0
nt	2117	1	0.0004723665564478035	2.4100693537331	0.15384615384615385
ov	191	0	0.0	0	1.0
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	0	0.0	0	1.0
si	201	0	0.0	0	1.0
snse	1449	0	0.0	0	1.0
spl	13	0	0.0	0	1.0
sse	376	0	0.0	0	1.0
sto	315	0	0.0	0	1.0
tes	1741	0	0.0	0	1.0
thy	2971	2	0.0006731740154830024	3.43461246843014	0.15384615384615385
ut	4682	1	0.00021358393848782572	1.0897302054363462	0.15384615384615385
va	170	0	0.0	0	1.0
