TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	6	0.0015003750937734434	0.2729979583480876	0.977022977022977
ac	3396	8	0.002355712603062426	0.42862930327208565	0.916083916083916
ag	281	0	0.0	0	1.0
as	1646	6	0.0036452004860267314	0.6632556715880936	0.8101898101898102
at	1068	3	0.0028089887640449437	0.5111043237050572	0.916083916083916
av	514	3	0.005836575875486381	1.061983302951364	0.47052947052947053
bam	5139	11	0.0021404942595835766	0.3894696500542915	0.916083916083916
ban	2842	7	0.0024630541871921183	0.4481604414753704	0.916083916083916
bca	56	1	0.017857142857142856	3.249163200696435	0.000999000999000999
bce	57	1	0.017543859649122806	3.192160337526322	0.000999000999000999
bceh	475	4	0.008421052631578947	1.5322369620126346	0.11388611388611389
bco	160	0	0.0	0	1.0
bfr	90	2	0.022222222222222223	4.043403094200008	0.000999000999000999
bhi	295	2	0.006779661016949152	1.2335806050101719	0.3146853146853147
bhy	781	1	0.0012804097311139564	0.23297457008834874	0.977022977022977
bnu	921	2	0.002171552660152009	0.3951208235374601	0.916083916083916
bpu	74	1	0.013513513513513514	2.4588262059324375	0.000999000999000999
br	812	4	0.0049261083743842365	0.8963208829507407	0.6443556443556444
bsp	338	3	0.008875739644970414	1.6149686914704175	0.11388611388611389
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	3	0.0012987012987012987	0.236302778232468	0.977022977022977
ebv	396	1	0.0025252525252525255	0.45947762434091005	0.916083916083916
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	1	0.002976190476190476	0.5415272001160725	0.916083916083916
liv	133	2	0.015037593984962405	2.736137432165419	0.000999000999000999
lu	1076	2	0.0018587360594795538	0.33820286103903413	0.977022977022977
ms	3668	8	0.0021810250817884407	0.39684436039040427	0.916083916083916
msg	64	1	0.015625	2.8430178006093807	0.000999000999000999
nt	2117	8	0.003778932451582428	0.6875886225375546	0.8101898101898102
ov	191	1	0.005235602094240838	0.9526342368534051	0.47052947052947053
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	1	0.001375515818431912	0.2502794212365892	0.977022977022977
si	201	1	0.004975124378109453	0.9052394987014943	0.6443556443556444
snse	1449	3	0.002070393374741201	0.3767145739937896	0.916083916083916
spl	13	0	0.0	0	1.0
sse	376	3	0.007978723404255319	1.451753770523939	0.2037962037962038
sto	315	0	0.0	0	1.0
tes	1741	1	0.0005743825387708214	0.10451070605341779	0.995004995004995
thy	2971	7	0.0023561090541905083	0.428701438799395	0.916083916083916
ut	4682	18	0.003844510892780863	0.69952082578001	0.8101898101898102
va	170	2	0.011764705882352941	2.1406251675176513	0.00999000999000999
