TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	2005	0.5013753438359589	1.111441514217302	0.001998001998001998
ac	3396	1725	0.5079505300353356	1.1260172906202337	0.000999000999000999
ag	281	167	0.594306049822064	1.3174489412843042	0.000999000999000999
as	1646	803	0.48784933171324424	1.0814572487766179	0.028971028971028972
at	1068	552	0.5168539325842697	1.1457542229052626	0.000999000999000999
av	514	261	0.5077821011673151	1.125643919974046	0.000999000999000999
bam	5139	2400	0.46701692936368944	1.035276284561216	0.21678321678321677
ban	2842	1309	0.4605911330049261	1.0210316733675457	0.34465534465534464
bca	56	24	0.42857142857142855	0.9500508618500159	0.9340659340659341
bce	57	24	0.42105263157894735	0.933383302870191	0.968031968031968
bceh	475	224	0.47157894736842104	1.0453892992146139	0.14985014985014986
bco	160	59	0.36875	0.8174395957167846	1.0
bfr	90	36	0.4	0.8867141377266815	1.0
bhi	295	136	0.4610169491525424	1.021975616362955	0.33766233766233766
bhy	781	396	0.5070422535211268	1.1240038365549483	0.000999000999000999
bnu	921	453	0.49185667752442996	1.0903406742404633	0.01098901098901099
bpu	74	37	0.5	1.108392672158352	0.002997002997002997
br	812	409	0.5036945812807881	1.1165827657949898	0.001998001998001998
bsp	338	126	0.3727810650887574	0.8263756017275287	1.0
bsu	175	68	0.38857142857142857	0.8613794480773477	1.0
cols	55	41	0.7454545454545455	1.6525127112179065	0.000999000999000999
colt	2310	1264	0.5471861471861472	1.212994231695374	0.000999000999000999
ebv	396	180	0.45454545454545453	1.007629701962138	0.4645354645354645
esog	43	5	0.11627906976744186	0.2577657377112446	1.0
esom	90	7	0.07777777777777778	0.17241663789129918	1.0
esomu	33	6	0.18181818181818182	0.4030518807848552	1.0
hlv	336	192	0.5714285714285714	1.2667344824666877	0.000999000999000999
liv	133	70	0.5263157894736842	1.1667291285877388	0.000999000999000999
lu	1076	541	0.5027881040892194	1.1145733004417628	0.001998001998001998
ms	3668	1934	0.5272628135223555	1.1688284776195488	0.000999000999000999
msg	64	20	0.3125	0.6927454200989699	1.0
nt	2117	948	0.4478034955125177	0.99268422598594	0.6233766233766234
ov	191	67	0.3507853403141361	0.7776158014095244	1.0
pan	1	1	1.0	2.216785344316704	0.000999000999000999
pit	60	20	0.3333333333333333	0.7389284481055679	1.0
pro	727	351	0.4828060522696011	1.070277380818656	0.04795204795204795
si	201	84	0.417910447761194	0.9264177558338463	0.981018981018981
snse	1449	752	0.5189786059351277	1.1504641676509049	0.000999000999000999
spl	13	2	0.15384615384615385	0.34104389912564675	1.0
sse	376	210	0.5585106382978723	1.2380981976236909	0.000999000999000999
sto	315	166	0.526984126984127	1.1682106893859454	0.000999000999000999
tes	1741	851	0.488799540493969	1.0835636576757697	0.023976023976023976
thy	2971	1377	0.4634803096600471	1.02743635783376	0.28471528471528473
ut	4682	2322	0.4959419051687313	1.0993967470105481	0.005994005994005994
va	170	58	0.3411764705882353	0.7563149998256989	1.0
