TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	2	0.0005001250312578145	7.354875044213979	0.08491508491508491
ac	3396	0	0.0	0	1.0
ag	281	0	0.0	0	1.0
as	1646	0	0.0	0	1.0
at	1068	0	0.0	0	1.0
av	514	0	0.0	0	1.0
bam	5139	1	0.0001945903872348706	2.861660371843909	0.08491508491508491
ban	2842	1	0.0003518648838845883	5.174550545709306	0.08491508491508491
bca	56	0	0.0	0	1.0
bce	57	0	0.0	0	1.0
bceh	475	0	0.0	0	1.0
bco	160	0	0.0	0	1.0
bfr	90	0	0.0	0	1.0
bhi	295	0	0.0	0	1.0
bhy	781	0	0.0	0	1.0
bnu	921	0	0.0	0	1.0
bpu	74	0	0.0	0	1.0
br	812	0	0.0	0	1.0
bsp	338	0	0.0	0	1.0
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	1	0.0004329004329004329	6.366265216842359	0.08491508491508491
ebv	396	0	0.0	0	1.0
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	0	0.0	0	1.0
liv	133	0	0.0	0	1.0
lu	1076	1	0.0009293680297397769	13.667353764782387	0.08491508491508491
ms	3668	1	0.0002726281352235551	4.009289163278585	0.08491508491508491
msg	64	0	0.0	0	1.0
nt	2117	1	0.0004723665564478035	6.946656896979618	0.08491508491508491
ov	191	0	0.0	0	1.0
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	0	0.0	0	1.0
si	201	0	0.0	0	1.0
snse	1449	0	0.0	0	1.0
spl	13	0	0.0	0	1.0
sse	376	0	0.0	0	1.0
sto	315	0	0.0	0	1.0
tes	1741	0	0.0	0	1.0
thy	2971	0	0.0	0	1.0
ut	4682	0	0.0	0	1.0
va	170	0	0.0	0	1.0
