TISSUE	N_TRANS	N_ANNOT	FRAC	ENRICHMENT	P_VALUE
aa	3999	1	0.00025006251562890725	9.61789263433299	0.04895104895104895
ac	3396	1	0.0002944640753828033	11.325663322938048	0.04895104895104895
ag	281	1	0.0035587188612099642	136.87527631564987	0.000999000999000999
as	1646	0	0.0	0	1.0
at	1068	0	0.0	0	1.0
av	514	0	0.0	0	1.0
bam	5139	0	0.0	0	1.0
ban	2842	0	0.0	0	1.0
bca	56	0	0.0	0	1.0
bce	57	0	0.0	0	1.0
bceh	475	0	0.0	0	1.0
bco	160	0	0.0	0	1.0
bfr	90	0	0.0	0	1.0
bhi	295	0	0.0	0	1.0
bhy	781	0	0.0	0	1.0
bnu	921	0	0.0	0	1.0
bpu	74	0	0.0	0	1.0
br	812	0	0.0	0	1.0
bsp	338	0	0.0	0	1.0
bsu	175	0	0.0	0	1.0
cols	55	0	0.0	0	1.0
colt	2310	1	0.0004329004329004329	16.65019595008555	0.04895104895104895
ebv	396	0	0.0	0	1.0
esog	43	0	0.0	0	1.0
esom	90	0	0.0	0	1.0
esomu	33	0	0.0	0	1.0
hlv	336	0	0.0	0	1.0
liv	133	0	0.0	0	1.0
lu	1076	1	0.0009293680297397769	35.74530914934723	0.04895104895104895
ms	3668	1	0.0002726281352235551	10.485810426580594	0.04895104895104895
msg	64	0	0.0	0	1.0
nt	2117	0	0.0	0	1.0
ov	191	0	0.0	0	1.0
pan	1	0	0.0	0	1.0
pit	60	0	0.0	0	1.0
pro	727	0	0.0	0	1.0
si	201	0	0.0	0	1.0
snse	1449	2	0.0013802622498274672	53.08758129012784	0.000999000999000999
spl	13	0	0.0	0	1.0
sse	376	0	0.0	0	1.0
sto	315	0	0.0	0	1.0
tes	1741	0	0.0	0	1.0
thy	2971	0	0.0	0	1.0
ut	4682	1	0.00021358393848782572	8.214855327786761	0.04895104895104895
va	170	0	0.0	0	1.0
