	as	ag	aa	ac	bca	bceh	bco	bhi	fib	colt	hlv	ms	sse	wb
AGE										0.06407417751220623				
AGE2										0.0727319821522614				
AGE3										0.08000659685034646				
COHORT_0	0.08722701436678407	0.16365540464327724	0.13638490366282185	0.07509353900685786						0.147065033244866	0.19865858173800818	0.06899382956031934		0.1748290431321074
COHORT_1	0.08647260929820917	0.16365540464327724	0.13638490366282185	0.07509353900685786						0.147065033244866	0.19865858173800818	0.07311631291975501		0.17180991249947689
DTHHRDY	0.06436891173081827	0.14800167127692704	0.08661658465146878	0.050782089286677774						0.16185832414306578	0.14781386338091831			0.09401107502368955
DTHPLCE_0	0.06805865433488312	0.10964220565217513	0.10200856095746177	0.06166346959386168						0.0913324048454573	0.1381874476892004	0.10325064865273423		0.11444383950397406
DTHPLCE_2	0.05559242564758606	0.100108987426414	0.07800796104638891	0.05712735792638108						0.06962069642507968	0.09965416908665928	0.08300749241536881		0.07140101394710564
DTHRFG		0.10564914482366647	0.08560327137382717							0.11735375190196694	0.11027836365936042			0.11126534651527903
DTHVNTD												0.07136161850676918		
ETHNCTY		0.09600899644850237	0.06101012940829142							0.0850447885742822	0.06816762126260202			0.059135278303331436
LBCMVTAB	0.09540109790295996	0.19802793719972137	0.14176310706217815	0.0878735943438643						0.20289165596442307	0.22042484816020355	0.08021855640459924		0.1529451698452394
LBEBVGAB	0.08470119510225042	0.16108464466094943	0.11905414698379993	0.08210971693505517						0.1589535856248216	0.19665778269385203	0.07518344495735367		0.14002007645042794
LBEBVMAB	0.0867295432545557	0.1820920112164132	0.12446262595715141	0.08331379652476568						0.15761145823396677	0.20095632723465937	0.0761958308825672		0.14259558067534067
LBHBCABM														0.05784556906149053
LBPRRVDRL		0.06456822722175994	0.05267311067667982							0.0574640577904096				0.0700690518384118
PC1	0.291261457797259	0.12073021173658915	0.13231891943159624	0.12263113403707966	0.1922108283167936	0.2179088276092292	0.235278711592756	0.11401986631077499	0.24515238908001416	0.053981562423055664	0.14751031219795271	0.1028088866528879	0.16474275856272125	
RACE					0.15915434653012087	0.1888662695623099	0.2054833053324942	0.11407931267663451						
SMALTALG					0.05446367914613507									0.05353564438323481
SMATSSCR		0.1029839862175685								0.19996236955048696				
SMCENTER_0		0.05573272727341946	0.0502636784340746								0.05421795989235207			0.06792762459205218
SMCENTER_2		0.055732727273419456												0.06612740465574299
SME1ANTI									0.06317763270509488					
SME1SNSE									0.06237239453543571					
SME2ANTI									0.06318893177188296					
SME2PCTS		0.06484840627577476												
SME2SNSE									0.06323433857446677					
SMEXNCRT	0.08820895761982668	0.07756025402772468	0.23676581287255302	0.16003614983784437		0.08014683318465188		0.08154528804332273				0.14195441935038977	0.16949884344446783	0.1081979290319542
SMEXPEFF		0.06964069404718513	0.22690837377838952	0.15763626562393424										
SMGEBTCHD_52				0.0609740813337695										
SMGEBTCH_76				0.0609740813337695										
SMGNSDTC			0.05514749898137905	0.06719862326711064								0.0637924765146928	0.08734964026248083	0.10525020955428523
SMMFLGTH									0.056657022869612925					
SMMPPD									0.05966010418607819					
SMMPPDPR									0.059955687688016485					
SMMPPDUN									0.05966010418607819					
SMNABTCHD_190				0.05558029537154294										
SMNABTCH_326				0.05558029537154294										
SMNTERRT		0.0828216631576784	0.05558332974916714									0.052174153454713254		
SMNTRART		0.08137893416526149	0.05557162249608641									0.05178460209182171		
SMNTRNRT	0.09692863946335128	0.0610915668727415	0.2400004630526227	0.1651213071782455	0.06935442251044624	0.0887662584809336		0.1520696977996984	0.06165741375335533		0.07343428463485394	0.14775558477193418	0.1728662449133601	0.1685126146446371
SMRDTTL									0.05899183060956129					
SMRIN		0.15425769922207208			0.0826347309940723	0.05879458591461554				0.08065554365444337	0.2207402801341734			0.06172094841111577
SMRRNANM		0.0738725365239104			0.11490147947139986	0.06806581395861176	0.1259589586779882			0.06746460610621186	0.15627008084384508			
SMRRNART		0.08007668363649847			0.15231817112730286	0.07657850082362017	0.17213686351436105		0.11085497158341244	0.16842808666114711	0.21894982649303688			
SMSFLGTH									0.053566651460851364					
SMSPLTRD							0.06951893427507688		0.09178178920696438		0.20258979982786612			
SMTRSCPT			0.055735707414258435	0.06738939333107415								0.06396482814425271	0.08760443802215105	0.10562210854584529
SMTSISCH	0.07023341381812447	0.1309553791616888	0.10213508533322463	0.08743973791255606						0.15999491869384944	0.163897117489366	0.05481964901915361		0.12098198711850863
TRCHSTIND	0.090938555973244	0.15684191634323044	0.13002281944199426	0.09215789680876633						0.15587499411177375	0.19374139335922114	0.0739477865327618		0.15594582051901043
TRDNISCH	0.07784858862223612	0.12329313904300099	0.10573066458538648	0.0866601731966393						0.1571648183011085	0.16015947910595807	0.06220414970401723		0.11659692240157188
TRISCHD	0.07920983431092461	0.13397460391552166	0.11077054695117268	0.089144307630984						0.1580392324841385	0.1745122355422836	0.06436943969997215		0.12506891564254782
