	as	ag	aa	ac	bca	bceh	bco	bhi	fib	colt	hlv	ms	nt	sse	thy	wb	tes
AGE	0.025801222691320777	0.012130726167043275	0.02595621276597126	0.010644939838642592	0.01844471010973128	0.013172987474362054	0.031240365272891663	0.04418880249556885	0.0021462775267893047	0.06257596212533832	0.018424665043146944	0.012864474102294767	0.01982987148382792	0.00998489360167953	0.02043564699926705	0.039483793560741734	0.003780515981757923
COHORT_0	0.08151176324901045	0.18226961141535675	0.15556472290852888	0.08893097009850312					0.00789046241220779	0.14561935115263902	0.19825161086216722	0.07302282728800824	0.08715416397969392	0.019531210989482354	0.10803863084561621	0.1841017279550044	0.03194192453825083
COHORT_1	0.08260397052034155	0.18226961141535675	0.15556472290852888	0.0889309700985031					0.0023788689811295774	0.14561935115263902	0.19825161086216722	0.07809173950783216	0.08252155481651466	0.017678193897920372	0.10803863084561621	0.1796130876125495	0.03194192453825083
COHORT_2	0.038971628940670966								0.025470926478825553			0.016535988142181515	0.03141759772227483	0.01591742997210833		0.011315034233048757	
DTHATPSY	0.02390866834513347	0.05074303248477062	0.051070724197817274	0.045481862577620824	0.0040083390298717315	0.003875101841931662	0.007205381800098532	0.003943580514123644	0.005909764361673486	0.0361521578867149	0.049501315739635406	0.018230257400268745	0.02741343906337113	0.004952871627272239	0.031289295044590305	0.045540643337325215	0.008369733916990092
DTHHRDY	0.060572875088328516	0.16455127815641563	0.09854192317331147	0.058706792925589814	0.039660466475971566	0.015441453815700225	0.036473259137352394	0.010099785429023242	0.005096622468544426	0.16165613110659263	0.14792460471621902	0.04182097256227881	0.048831895733541984	0.010939343696995162	0.06975014634458317	0.10081109461197373	0.03071812232898925
DTHPLCE	0.03548118826713709	0.08407287310140285	0.06883368339761896	0.036121208446684504	0.007611682422987965	0.009898773908394132	0.010564692441192286	0.004040005045311877	0.003786242444244177	0.09494690623039213	0.09887891371937706	0.06379224124257432	0.055830021222316534	0.015010351845973297	0.051741367190332926	0.06701454745464111	0.022191698577565703
DTHRFG	0.06696700351437093	0.06665817979199867	0.08040586306080205	0.06032748888046336			0.02271584874955375		0.007771234937514183	0.04352802376838444	0.16028012324689672	0.04975315390981452	0.06647856278300263	0.017858722535558726	0.07698129331757511	0.13227892303245725	0.004318723206975562
DTHVNT	0.0796073170113349	0.18254105122391018	0.14825948685947826	0.09255032450191537	0.003089495748430092	0.008517688444972542	0.0034451079429878525	0.007156455154269872	0.006210942957851686	0.16773674776355552	0.17101761122243514	0.08787756633560387	0.0881203494889573	0.0231764442622906	0.1046167838924301	0.14384781643249833	0.039613146537092726
DTHVNTD	0.008081170601828832	0.01125957016224357	0.0081737869170826	0.020636647796170512					0.0046736537341489845	0.0011867924141196024	0.010485371040460052	0.07456200480357164	0.007099732719418494	0.009201201350295816	0.0030858477153170067	0.008296542275120989	0.06428066458948721
LBCMVTAB	0.024454822711156027	0.010880323172449765	0.011663948590018474	0.008949903179214526					0.013832988403657513	0.00823976268282749	0.020891350687954544	0.006844675948115952	0.026382131185103474	0.010424484153362142	0.02017866653683158	0.001951702617541134	0.013632505433028979
LBEBVGAB	0.006822255546346312	0.0038833083278799934	0.004374344412119908	0.004216381736756983					0.0026791032528178573	0.0014528992974815608	0.00529987597025991	0.00252406063665466	0.007827974084054041	0.0018105742836028232	0.004251830531512407	0.0012545885912361235	0.0061066436531967685
LBEBVMAB	0.001966220544543803	0.005213025897697648	0.006630030724524737	0.005801814508494942					0.0019887167580974435	0.000642492133574819	0.007569409595473134	0.0012613076127418975	0.0017022893729047187	0.0014470269767199863	0.0017867068756328615	0.008354054710433025	0.002465456989950782
LBHBCABM	0.0037986574043600055		0.007178149235535633	0.0657136826644169	0.00947479888410321	0.015000737324295077	0.004616483403930696	0.00534666647055722	0.008892204159699484	0.025423087104370096	0.0033446910452169447	0.0030943021256098426	0.01253079306708966	0.014369705802755121	0.008118708283929127	0.002309921371724921	0.006054947751766424
MHABNWBC	0.0006343799113085637	0.0035378640471082695	0.0013609099997438574	0.009010771807547266	0.002784256022519256	0.006069772836631994	0.00256711982246698	0.012350359867067574	0.0015056545793449931	0.0005008897445075371	0.0024930795849253313	0.001230397424118067	0.0017487807963712423	0.0013440498871336824	0.0023949919255526132	0.0015264787728909044	0.001129846025380933
MHSRC_0	0.0134808284363035	0.024279304048547903	0.039345086542036736	0.016979177121829614	0.004446435493585796	0.0038985696761521865	0.006879378013598208	0.0040151856837299695	0.0027948564798840766	0.03345694155387932	0.01532855657615118	0.013878924630789675	0.01609324055877612	0.0024166170969160765	0.015234301621970328	0.04578480738058993	0.004480267448998233
MHSRC_1	0.013480828436303499	0.024279304048547903	0.039345086542036736	0.016979177121829614	0.004446435493585796	0.003898569676152187	0.006879378013598208	0.0040151856837299695	0.0027948564798840766	0.03345694155387932	0.01532855657615118	0.013878924630789675	0.01609324055877612	0.0024166170969160765	0.015234301621970328	0.04578480738058993	0.004480267448998233
PC1	0.2742298027040134	0.10855941252694237	0.126962071459653	0.10871948122841857	0.18379197733774003	0.19772494848035796	0.21824315303923278	0.10919295671730118	0.214920503590069	0.049379969926085315	0.13649514911525662	0.09072262476189194	0.30811622503474256	0.15366157828438273	0.24694829723673375	0.015594763015814868	0.11407329092311101
PC2	0.0025603278142619142	0.006991655171694142	0.003124535855373779	0.003366476134269001	0.004752487325136675	0.005171398776142252	0.0033389215955215244	0.015304413145296316	0.0016888076156829327	0.0018436687997964581	0.005717157126504058	0.0020073464243498193	0.003526473517809809	0.0010911078559087412	0.0033478881519879928	0.004585027984011537	0.0020148189338542047
PC3	0.0012485631561980112	0.0022587191563645677	0.005956854637693993	0.0033384676286113825	0.00907647782924704	0.006368569120150781	0.0031425713299091692	0.0017949275419861055	0.0026012810028154866	0.011373487488840437	0.0025841047601624554	0.0009157395501351512	0.0014686906004589286	0.0041800650968768565	0.0011805598441782363	0.0015740988435345566	0.0016852520189502183
PC4	0.0024077926677780817	0.004405950002536228	0.005550365442681432	0.0016915896032149045	0.006891724732275789	0.0031102326319861983	0.003294756653883869	0.003521993892956199	0.0009018303980409643	0.0012533163266750388	0.0022365037182953008	0.0004676649730985659	0.0032498692739075406	0.0009055553252357604	0.0025024383355070267	0.002165189321479948	0.004941157641385488
PC5	0.0033871718657323725	0.006423031442974835	0.003963812341401222	0.008576470664794937	0.0029196077660565457	0.0050635931072251445	0.010103023265397302	0.005209930999354358	0.0008024419282154498	0.005723579849619743	0.006928816402959138	0.0019917457813001162	0.002095540491182198	0.0009619599443310582	0.0017421275313699773	0.004782875748156847	0.0036812558492363315
RACE	0.17078353660641504	0.06239039667997724	0.07596364695088835	0.06161231717048382	0.15069027433560772	0.173373403993196	0.19147485851463317	0.10975151555862332	0.15568099541016145	0.03142682654366866	0.09232611241322913	0.057137024884918564	0.2101636123377979	0.10387744271151624	0.15616013270115686	0.01097036230382969	0.07939907051111207
SEX	0.005757518165565323	0.002584032781441491	0.0039436088949326	0.009617488624009901	0.0029170411925634925	0.008029158563777313	0.007706749168003773	0.004505065975058079	0.002102007389347516	0.002978526772859751	0.0067315966278328355	0.006464276074653818	0.002446861014871302	0.002979211096341394	0.005757253368281016	0.0016823263320624989	
SMALTALG	0.0012869663544807077	0.019203340006470733	0.007297947621772486	0.004982237137446223	0.05788580807849959	0.03229310622724527	0.031614097733450294	0.01014760268343126	0.003637689504548209	0.02815644032103484	0.02362039778147974	0.004479125931767449	0.0008588587057222156	0.002895641735686657	0.004143902334662945	0.054868645203176365	0.0022616517964044493
SMATSSCR	0.005390274032731363	0.1098622238470163	0.01650324412375059	0.011036692509585142			0.006961843422754917			0.1936185949373	0.012030320681130819	0.005040460327640167	0.0019456359272532803	0.0019637849265501913	0.036424556105395654		0.008805163216390228
SMCENTER	0.021667946369811987	0.061672942101454256	0.0537342729915995	0.029095061028157676	0.013395484769137385	0.00803028632834325	0.008512570159265544	0.006463255001208403	0.0062969203302242465	0.04524002530334581	0.06107871109611595	0.022660398081881458	0.024099307336254767	0.004695328069174196	0.03304127447257529	0.060234564183392736	0.013777223502433517
SME1ANTI	0.002507920354673788	0.0021196586360562744	0.002001151262185551	0.0044885430648149175	0.008541516749803893	0.005274811129976035	0.012673399647225697	0.004806343782458936	0.06406020131778734	0.005386686810651352	0.01403704676504107	0.002728286037374084	0.0008843176492689126	0.0013624416218460465	0.003544863580653287	0.011248930859167191	0.023819652630125927
SME1MMRT	0.004228490820689368	0.00544317367325243	0.023407608197545116	0.016090297948046662	0.021943944605426403	0.006795832865754002	0.013577757946078938	0.0031777185076732545	0.010906959013279434	0.0070781642389577265	0.012725647464961293	0.003372280951784	0.004700437006188542	0.0019255872930013468	0.003911822000537896	0.0026116012509949664	0.02926740193114365
SME1MPRT	0.001825551381715748	0.0035132254579750524	0.0027382301560438587	0.00780050786576002	0.006636451061784503	0.004626510986213712	0.0057125616677638595	0.010554331531478733	0.004080131454440887	0.002117299999549982	0.002824790241993787	0.003593896806270275	0.0029665593391116182	0.0009345183407811105	0.0023929833024390872	0.004448515314625848	0.010320946847144711
SME1PCTS	0.0009844851507664215	0.04321929831771739	0.003427912257102073	0.00871021094883615	0.008240925166581503	0.004983180683000882	0.004387966311450245	0.00903517094832938	0.006049636101225865	0.007109905531752348	0.006106900278463745	0.002939159369898346	0.0016091451039954828	0.0026092662269179916	0.0034841355500621154	0.011363736322799899	0.004481555630306616
SME1SNSE	0.0025141300960237456	0.00223907253395788	0.0020325774927852686	0.0045820959276020356	0.00928249004856535	0.005341192929146574	0.012656159771651613	0.004619989008327045	0.06318144993532974	0.005578250870622768	0.015199196873709355	0.0028257845770466527	0.0008928796590158035	0.0013222219905544336	0.003704206227110964	0.01217357183171893	0.024172817738875096
SME2ANTI	0.0024773981837236552	0.0022292838120500412	0.0020287423099242647	0.0044574193457461424	0.008046436305006666	0.00508949705648925	0.012947206263585975	0.0048647655962575365	0.06402274224611607	0.005595352472646505	0.015911808140936987	0.002827910881114994	0.0008815032372160273	0.0013053722430294745	0.003617429191372461	0.011571614349735	0.023569509047013486
SME2MMRT	0.0020050836155968087	0.004842750901276732	0.01295420227675154	0.014441495569456633	0.0036287029733949676	0.008630189840347899	0.008994657248153144	0.005945236373081763	0.005939314681488432	0.0012389480429384802	0.003531893236516137	0.002774784782216919	0.0017412910002127502	0.0009954843668572109	0.0024781059836707724	0.0028704386404556003	0.01847553284864285
SME2MPRT	0.0019421789860084961	0.00379853345793245	0.0036943756800318943	0.004715199126026804	0.006713895631931974	0.00458952890282239	0.005008993495217596	0.010110242763932699	0.00942960601012688	0.0008884515259714987	0.002770084301498951	0.0034768822456967656	0.0029483525187458236	0.0009495068554951967	0.002381366691706471	0.003884468035871666	0.012608000708285418
SME2PCTS	0.0029393562826884414	0.07366992371119416	0.005297445673137834	0.005000622935790112	0.03815202184862598	0.03930901622863532	0.04946002726732391	0.006574023915086019	0.0014236231974728499	0.0029500413167506613	0.024564504897621135	0.004841865734950177	0.008376163703094045	0.0029806200226690414	0.005178135887658158	0.0034736611226936867	0.007165785833848811
SME2SNSE	0.0024443790268618734	0.0021520909233879292	0.0020931306618098043	0.004480486672861734	0.010062313900638779	0.0055606404505136806	0.011363973540236216	0.004705467177826837	0.06414402127087158	0.005530188669227979	0.013411086403733926	0.002710491631685885	0.0009021705656323013	0.001348583997371108	0.003608430975968428	0.011162668415726051	0.02389996959888677
SMEXNCRT	0.09031919803486138	0.08280054929452388	0.25305876786866155	0.1760527278129576	0.04851327561323108	0.08639106273429975	0.017351891117684776	0.08353787496080299	0.03719165425188105	0.007854046116664137	0.04380508337758851	0.1482552626473633	0.09220501969242759	0.1693071227987847	0.037520420220763205	0.1062380816322127	0.032012386416842904
SMEXPEFF	0.014640472988124471	0.07589222213834604	0.24179200142061558	0.17342306523462414	0.013098249371518846	0.038903578354778645	0.01032887538349147	0.008435538443735341	0.03784276002703531	0.008095663548360188	0.007369121004330987	0.019574157691321932	0.011524084728197017	0.02210275491262796	0.012332305553531304	0.04053435220707698	0.02120753455370124
SMGEBTCH	0.005092654275025794	0.00456802752752166	0.008460051618838177	0.018356390523425664	0.006648103265141573	0.015946037780923458	0.008260449356293888	0.014185179759386926	0.04834924475046279	0.02875746563493552	0.007697071273984169	0.0067858358541614495	0.008425623375645747	0.003382147617216304	0.0067034103547187005	0.003817138254968512	0.001488741486194715
SMGEBTCHD	0.003170357996720699	0.003344092365091575	0.009684280014785924	0.013744751331925839	0.00572244403836688	0.01598564815145544	0.00846082501220771	0.013531194869747404	0.03926230490472406	0.019961106808565734	0.005128590030330547	0.006014227625004663	0.0070993377412235485	0.0028643557233942133	0.004338257979710533	0.002891732347438663	0.001769980552762518
SMGNSDTC	0.03530918606565422	0.017552902077230967	0.06021332560712633	0.06643157817388122	0.03680725766306476	0.013128874220440932	0.03211064168066114	0.013830021953744257	0.0186623422688112	0.00795817312861914	0.040720119787097456	0.06463830320574013	0.02520201076028731	0.08886833798541222	0.013898059847763159	0.10351086984969571	0.04031153316257374
SMMAPRT	0.0018839173614611012	0.003803650369551774	0.0032908235996187175	0.006350685278673803	0.00667702828707813	0.004610468422069258	0.005316416944498592	0.010348946018551181	0.0060601412141599925	0.001189299224680933	0.0027980649444821703	0.003538629729072506	0.002957782193579312	0.0009417102745368746	0.0023882846651044082	0.004170894163486543	0.011793213898259314
SMMFLGTH	0.006030671743388609	0.005658797460082548	0.014669120218998076	0.01752935312742954	0.027680357213476923	0.022317235519681837	0.010999269052187956	0.005752411410846123	0.05701791789351468	0.018288633403684983	0.016187348181689747	0.008108078722754403	0.0061354485420297145	0.0027247758122368655	0.005635175878607462	0.011960855094869162	0.01368212093231669
SMMPPD	0.002354906322327544	0.002240118061983674	0.0018369860567459654	0.004648070733321884	0.008792317418022735	0.005338633468968794	0.012236523546114483	0.004795908222407175	0.06035139580329498	0.003531192975520649	0.015885301717673363	0.002633459561180657	0.0008063443208005734	0.0010957538520445212	0.0034895696818806254	0.006785899675669053	0.013830138211351246
SMMPPDPR	0.00233202234398547	0.0022448115268016103	0.0019153169743333245	0.004665871851947652	0.008882353396546971	0.005362749227534784	0.0119756409395586	0.004858235704029754	0.0606635914838859	0.003503325220420262	0.015905758592390462	0.00265919810189534	0.0008087873312758137	0.0010875219543541462	0.003509534440875928	0.006755989166821711	0.013693696471211245
SMMPPDUN	0.002354906322327544	0.002240118061983674	0.0018369860567459654	0.004648070733321884	0.008792317418022735	0.005338633468968794	0.012236523546114483	0.004795908222407175	0.06035139580329498	0.003531192975520649	0.015885301717673363	0.002633459561180657	0.0008063443208005734	0.0010957538520445212	0.0034895696818806254	0.006785899675669053	0.013830138211351246
SMMPUNRT	0.0018839173614611012	0.003803650369551774	0.0032908235996187175	0.006350685278673803	0.00667702828707813	0.004610468422069258	0.005316416944498592	0.010348946018551181	0.0060601412141599925	0.001189299224680933	0.0027980649444821703	0.003538629729072506	0.002957782193579312	0.0009417102745368746	0.0023882846651044082	0.004170894163486543	0.011793213898259314
