	as	av	ag	aa	ac	at	bam	ban	bca	bceh	bce	bco	bfr	bhi	bhy	bnu	bpu	bsp	bsu	br	ebv	fib	cols	colt	esog	esom	esomu	haa	hlv	kc	liv	lu	msg	ms	nt	pan	pit	snse	sse	si	spl	sto	thy	wb	ov	pro	tes	ut	va
AGE	0.025801222691320777	0.05253836211896316	0.01266851777982798	0.02603883311976754	0.010896356925159521	0.01616862346401673	0.029478780541399373	0.03923242734151067	0.018212762859784137	0.013283280995272137	0.016768397444376002	0.03138706760684743	0.033040026249057546	0.044362449725475823	0.01000741122131321	0.010715705790573559	0.017988922468950008	0.008513197329676737	0.017300142423802397	0.013717923475279878	0.0054026478490418655	0.002164640015470169	0.032674495597026704	0.06284833147400881	0.03061002032421175	0.02228379881664506	0.02171219135754746	0.00838409882655372	0.018306330710618553	0.01574445683202231	0.008572852507215659	0.03748958029988232	0.004645025509396188	0.012850665158610457	0.019758766382211728	0.001022294077314419	0.005921647290806567	0.019962860841030043	0.009997586413722503	0.007953392315345077	0.011847465419115912	0.002549281993725868	0.02037446357244969	0.03959400004690284	0.026762402752595664	0.03507196651553282	0.003824670654597809	0.09613098797774103	0.06935392991656095
COHORT_0	0.08151176324901045	0.18361668777595072	0.1830647188262428	0.15642771570234654	0.08992679531250729	0.04124580005410412														0.04578546113542641	0.012913972779164534	0.007860168202942271	0.13783344416417692	0.1460455656023721	0.15145397645594996	0.07123987051642641	0.14406665058899853	0.05134457116238551	0.19800277335261948	0.053660522013884486	0.08456864230619467	0.2570658441675678	0.009429701599332676	0.07279167990503195	0.08711390568709455	0.011604135399655519		0.05687445012482192	0.019443632713993072	0.057927725893463615	0.047966356157580485	0.021136856555491208	0.10759419770961726	0.1839340045592101	0.10116360241710436	0.03446686189478327	0.03188638996890182	0.18143017271970094	0.12400991506429969
COHORT_1	0.08260397052034155	0.18361668777595067	0.1830647188262428	0.15642771570234654	0.08992679531250727	0.03154920353085158														0.04578546113542641	0.012919874311918425	0.0023332628929227856	0.13783344416417692	0.1460455656023721	0.15145397645594996	0.07123987051642641	0.14406665058899853	0.05134457116238551	0.19800277335261948	0.053660522013884486	0.08456864230619467	0.2570658441675678	0.009429701599332676	0.07784367854490498	0.08249222252896762	0.011604135399655515		0.05687445012482192	0.017600539384897834	0.05792772589346363	0.04796635615758048	0.021136856555491208	0.10759419770961726	0.17943963402742877	0.10116360241710436	0.03446686189478327	0.03188638996890182	0.18143017271970094	0.12400991506429969
COHORT_2	0.038971628940670966					0.04459717846859236															0.08725793985111734	0.025646032392286484												0.01658438140290948	0.03142457244264146				0.015922709110856477					0.011334485039877374					
DTHATPSY	0.02390866834513347	0.05900513567982183	0.050746349570011146	0.051875979236669596	0.04589756397164075	0.02198466044179432	0.007688600397556113	0.007818888648115979	0.004017480987110456	0.0037280717754805573	0.00304194157804511	0.007309404401541379	0.019472696646904	0.004021052214001838	0.006405189119439937	0.0036990786822177187	0.008283294078604416	0.010938046631442514	0.005608474679179936	0.010860056144934654	0.017148725989617735	0.005842063024480758	0.046150938503534286	0.0365719592156959	0.03636657388010037	0.03403252770319125	0.034270087419310334	0.006121816497821684	0.04988698652180234	0.015709270969847335	0.03719758081969016	0.04348336819303634	0.004668187038174836	0.01802570975591056	0.027393075629549225	0.0033329575268040757	0.00356706248932449	0.020584563766065184	0.005076144087130913	0.004105772974099713	0.016589753055290205	0.01165483261951286	0.031170459684983894	0.04553052357186967	0.04442462292328905	0.011549689358323623	0.008447503979298538	0.02993031427878631	0.08983761983360639
DTHHRDY	0.060572875088328516	0.12436118066585185	0.16646677469942528	0.09850017597190958	0.05969306278448864	0.021850385782263403	0.018464572710479667	0.02327354079646573	0.040083478114120275	0.015283876560200877	0.025393326582102495	0.036584345491849114	0.03515038003417826	0.01008164797237236	0.01082422780183953	0.010342911998862881	0.012582378273858198	0.02565834397858825	0.01632158919967984	0.02901640531721099	0.010484332666533388	0.005120455401677678	0.09736539761354733	0.16181419038418168	0.0865228007142371	0.0714955177855327	0.10451679831980659	0.032724078266014416	0.1474507117403528	0.03796554477710123	0.03173452981932818	0.15496880834866783	0.007883363530184559	0.04170154879081501	0.04880920131712827	0.011040122368655108	0.011603860200397652	0.03136662528625165	0.010860229433944026	0.028684620540455338	0.02503125469039236	0.016502264115200116	0.06968549574984088	0.10086844560495185	0.06265372053134073	0.029810008395341894	0.03065328135297292	0.14417603391915879	0.05287477636804604
DTHPLCE	0.03548118826713709	0.07679232301803347	0.08400664026423492	0.06919692054321336	0.03506708447813248	0.026791821215083018	0.011193698391391971	0.015390315717530566	0.007675596578975736	0.01027765574286236	0.008192598507439277	0.010613234968986458	0.009251172138033196	0.004078764247133805	0.012703543241645798	0.0070568526283263456	0.007704157959868863	0.009813716678345135	0.006714720802555314	0.026073441978152142	0.011144377680847325	0.00378560431163498	0.04966836323028234	0.09466789688040794	0.10671505543154963	0.015085901732137311	0.0796794829948097	0.01805613840289735	0.0984343305393931	0.04303532707518087	0.13286535636003696	0.07778467591499245	0.0121258385218344	0.06360435267133273	0.055900224654382505	0.004052601807319291	0.01414118893577334	0.020286803246485036	0.014903884788833154	0.039502259606778826	0.065514082358828	0.023310871551649664	0.051496396039564775	0.06705390830276417	0.038811987085202	0.015276367058242167	0.022211298528385194	0.03498169407584301	0.020311001246542455
DTHRFG	0.06696700351437093	0.12772719839492302	0.068383818875772	0.07975246874468914	0.06081431431526397	0.015461483458583735					0.012728716967522773	0.02258111260282656				0.009103178046010584				0.029398526588446057	0.012977880552191243	0.007719952826093269	0.036660973905714586	0.04409024643814008	0.0955289827341663	0.012748824213797914	0.09320822340719556	0.09154437485897762	0.160244704238804		0.06602606980383476	0.19657540810839222	0.011358870951495462	0.04982142200593501	0.06626824522238894	0.005609373514417595	0.014921073653077918	0.030368067535158305	0.017686252291558974	0.033263958537992196	0.015570701591077022	0.02298985698970377	0.07672205052805524	0.13210372652543906	0.020367657461818765	0.01981233980843301	0.004264094455929131	0.030398130843235834	0.008193558404136277
DTHVNT	0.0796073170113349	0.16956792623268355	0.18335317080194508	0.14812526680351942	0.09324994101183437	0.035321917000589786	0.012962092166567112	0.004819779531448752	0.003095988841700122	0.008605397356678257	0.0060373623503979295	0.0034785009004793055	0.013657572957100192	0.006870299046846796	0.023587505783916468	0.021999150021368836	0.004073857472694429	0.007948707524738032	0.00885505900798175	0.042562184518077396	0.011383040946929546	0.00619494779807839	0.1203063954563559	0.1681395491595781	0.14345465608581545	0.06156247745319332	0.14041553389605965	0.04648694374989532	0.17054587316552808	0.05024728034733879	0.09729657356815126	0.23758522159409443	0.007557384310400452	0.08774880989452702	0.08805247411443001	0.005441569101143601	0.00863434012392019	0.03997320632253916	0.02307565156964328	0.06269964444930065	0.0541934991029	0.01296055870876672	0.10426678642104706	0.14392088744958514	0.0646835475168296	0.029795698391503575	0.039505950873140364	0.16218529369567342	0.10340952573646776
DTHVNTD	0.008081170601828832	0.008846138834914195	0.011357526441815655	0.008184992412760458	0.02088113329688352	0.00602445275307948														0.0028149563915812205	0.011355412451775333	0.004648941532583256	0.005633849130822478	0.0011944943216735799	0.030571760550704097	0.018721479473209006	0.014461307022468886	0.011904392652336934	0.010472648699350554		0.02672807824565158	0.005648537774593833	0.010970852599945615	0.07456178716994573	0.007073582589036459	0.018775899201599		0.005450148910926215	0.00934846523357588	0.02020757479470341	0.011108908782557256	0.004061378230113819	0.0031097998370141016	0.008285449011163838	0.010424940151813108	0.004108696527080071	0.06411410504211199	0.017356815776671652	0.010719333156696573
