tissue	total_before	total_after	filtered_out	brought_in
as	586	383	244	41
av	463	284	220	41
ag	184	135	59	10
aa	1298	908	490	100
ac	1539	1195	448	104
at	391	323	131	63
br	505	337	204	36
ebv	297	200	106	9
fib	209	95	126	12
cols	75	44	32	1
colt	1174	867	388	81
esog	17	4	14	1
esom	9	9	2	2
esomu	20	13	10	3
haa	64	236	6	178
hlv	247	147	115	15
kc	14	6	9	1
liv	37	22	17	2
lu	477	304	210	37
msg	3	3	1	1
ms	2253	1645	763	155
nt	720	554	220	54
ov	80	42	45	7
pan	179	356	7	184
pit	10	6	4	0
pro	886	542	387	43
snse	725	560	234	69
sse	400	296	155	51
si	82	70	14	2
spl	1354	1666	129	441
sto	252	176	93	17
tes	1286	1229	267	210
thy	998	788	288	78
ut	1683	1237	560	114
va	0	0	0	0
wb	6269	11482	465	5678
