ensembl_id	chrom	start	end	name
ENSG00000188290	1	998962	1000172	HES4
ENSG00000157933	1	2228695	2310119	SKI
ENSG00000197921	1	2528745	2530245	HES5
ENSG00000142611	1	3069168	3438621	PRDM16
ENSG00000078900	1	3652520	3736201	TP73
ENSG00000173673	1	6244192	6245578	HES3
ENSG00000069812	1	6412418	6424670	HES2
ENSG00000204859	1	6580001	6589280	ZBTB48
ENSG00000041988	1	6624866	6635586	THAP3
ENSG00000171735	1	6785324	7769706	CAMTA1
ENSG00000175279	1	10430443	10442809	CENPS
ENSG00000130940	1	10636604	10796650	CASZ1
ENSG00000116731	1	13700198	13825079	PRDM2
ENSG00000065526	1	15847864	15940460	SPEN
ENSG00000116809	1	15941869	15976132	ZBTB17
ENSG00000009709	1	18631006	18748866	PAX7
ENSG00000184677	1	22451851	22531157	ZBTB40
ENSG00000125945	1	23359448	23369442	ZNF436
ENSG00000007968	1	23506430	23531220	E2F2
ENSG00000158055	1	24319322	24364482	GRHL3
ENSG00000020633	1	24899511	24965121	RUNX3
ENSG00000176083	1	26361634	26374522	ZNF683
ENSG00000131914	1	26410778	26429722	LIN28A
ENSG00000126705	1	27534035	27604431	AHDC1
ENSG00000162419	1	28668732	28719353	GMEB1
ENSG00000273274	1	32465069	32496686	ZBTB8B
ENSG00000160062	1	32539427	32605939	ZBTB8A
ENSG00000160094	1	33256545	33300719	ZNF362
ENSG00000121903	1	33472645	33496507	ZSCAN20
ENSG00000116819	1	35573370	35595328	TFAP2E
ENSG00000188786	1	37809567	37859620	MTF1
ENSG00000185668	1	38044611	38046794	POU3F1
ENSG00000163909	1	39624153	39639945	HEYL
ENSG00000116990	1	39895426	39902256	MYCL
ENSG00000117000	1	40161373	40240921	RLF
ENSG00000187801	1	40450102	40463718	ZFP69B
ENSG00000187815	1	40477215	40496343	ZFP69
ENSG00000117010	1	40531561	40548169	ZNF684
ENSG00000066136	1	40691648	40771603	NFYC
ENSG00000010803	1	41027200	41242154	SCMH1
ENSG00000204060	1	41361922	41383590	FOXO6
ENSG00000127124	1	41506365	42035925	HIVEP3
ENSG00000198815	1	42176539	42335877	FOXJ3
ENSG00000065978	1	42682427	42702349	YBX1
ENSG00000164011	1	42846573	42852477	ZNF691
ENSG00000171872	1	44118850	44135140	KLF17
ENSG00000159588	1	45620044	45624057	CCDC17
ENSG00000159592	1	45627304	45688113	GPBP1L1
ENSG00000197587	1	46506996	46514226	DMBX1
