ensembl_id	chrom	start	end	name
ENSG00000243485	1	29554	31109	MIR1302-2HG
ENSG00000237613	1	34554	36081	FAM138A
ENSG00000238009	1	89295	133723	RP11-34P13.7
ENSG00000239945	1	89551	91105	RP11-34P13.8
ENSG00000241599	1	160446	161525	RP11-34P13.9
ENSG00000228463	1	257864	297502	AP006222.2
ENSG00000236743	1	357383	359681	RP5-857K21.15
ENSG00000236601	1	358857	366052	RP4-669L17.2
ENSG00000237094	1	365389	501617	RP4-669L17.10
ENSG00000230021	1	585989	827796	RP5-857K21.4
ENSG00000235146	1	587629	594768	RP5-857K21.2
ENSG00000237491	1	778770	810060	RP11-206L10.9
ENSG00000177757	1	817371	819837	FAM87B
ENSG00000225880	1	826206	827522	LINC00115
ENSG00000230368	1	868071	876903	FAM41C
ENSG00000272438	1	904834	915976	RP11-54O7.16
ENSG00000230699	1	911435	914948	RP11-54O7.1
ENSG00000241180	1	914171	914971	RP11-54O7.2
ENSG00000223764	1	916865	921016	RP11-54O7.3
ENSG00000272512	1	995966	998051	RP11-54O7.17
ENSG00000273443	1	1062208	1063288	RP11-54O7.18
ENSG00000223823	1	1137017	1144056	LINC01342
ENSG00000272141	1	1169357	1170343	RP11-465B22.8
ENSG00000260179	1	1249777	1251334	RP5-902P8.12
ENSG00000230415	1	1275223	1280420	LINC01786
ENSG00000272455	1	1409096	1410618	RP4-758J18.13
ENSG00000225285	1	1430539	1434573	LINC01770
ENSG00000215014	1	1574975	1577075	RP5-832C2.5
ENSG00000234396	1	2212523	2220738	RP11-181G12.4
ENSG00000272449	1	2546465	2547460	RP3-395M20.12
ENSG00000228037	1	2581560	2584533	RP3-395M20.9
ENSG00000233234	1	2811850	2812692	RP11-740P5.2
ENSG00000231630	1	2814432	2814998	RP11-740P5.3
ENSG00000272235	1	3306636	3310096	RP11-22L13.1
ENSG00000272088	1	3487246	3487627	RP11-168F9.2
ENSG00000236423	1	3900372	3917225	LINC01134
ENSG00000233304	1	3940565	3955262	LINC01346
ENSG00000226374	1	3944547	3948980	LINC01345
ENSG00000235054	1	4412027	4424689	LINC01777
ENSG00000227169	1	4551735	4552145	RP1-37J18.1
ENSG00000232596	1	4571481	4594009	LINC01646
ENSG00000231510	1	5086459	5090899	RP11-542C10.1
ENSG00000260972	1	5492978	5494674	RP1-58B11.1
ENSG00000236948	1	5561709	5668295	RP11-154H17.1
ENSG00000225077	1	6236240	6239444	LINC00337
ENSG00000228750	1	6724637	6730012	LINC01672
ENSG00000270171	1	7693124	7694844	RP11-338N10.1
ENSG00000270035	1	7698303	7698872	RP11-338N10.2
ENSG00000269978	1	7700704	7700970	RP11-338N10.3
ENSG00000238290	1	8026738	8122702	RP11-431K24.1
ENSG00000227634	1	8202429	8215210	LINC01714
ENSG00000233645	1	8218190	8220529	RP11-431K24.4
ENSG00000228423	1	8805860	8807051	RP4-633I8.4
ENSG00000228526	1	9148011	9196983	MIR34AHG
ENSG00000234546	1	9182004	9196284	LINC01759
ENSG00000281937	1	9197143	9198906	RP3-510D11.4
ENSG00000235263	1	9501092	9503471	RP13-392I16.1
ENSG00000235643	1	11609531	11613355	LINC01647
ENSG00000229484	1	12527724	12528420	RP5-888M10.2
ENSG00000272482	1	12618900	12619244	RP11-474O21.5
ENSG00000228338	1	12822686	12823159	LINC01784
ENSG00000233336	1	13146981	13147460	RP13-221M14.2
ENSG00000228229	1	13324039	13324518	RP11-219C24.10
ENSG00000237445	1	13657311	13659910	CTA-520D8.2
ENSG00000231606	1	14221891	14223118	RP11-344F13.1
ENSG00000234593	1	14348955	14391575	RP4-704D23.1
ENSG00000204464	1	15164344	15171317	C1orf195
ENSG00000228140	1	15402979	15409433	RP3-467K16.4
ENSG00000271742	1	15682873	15683128	RP4-680D5.9
ENSG00000226029	1	16460948	16468481	LINC01772
ENSG00000261135	1	16514645	16515754	RP4-798A10.7
ENSG00000224174	1	16520694	16521796	RP4-798A10.4
ENSG00000233421	1	16533886	16536172	LINC01783
ENSG00000271732	1	16617391	16617729	RP5-1182A14.5
ENSG00000282143	1	16656879	16667524	RP1-163M9.8
ENSG00000279151	1	16701546	16705594	RP1-163M9.7
ENSG00000282740	1	16739938	16750589	RP5-1182A14.7
ENSG00000223643	1	16851257	16853129	RP11-108M9.1
ENSG00000230239	1	16855407	16859284	RP11-108M9.2
ENSG00000228549	1	16870945	16874092	RP11-108M9.3
ENSG00000238142	1	16888538	16889649	RP11-108M9.4
ENSG00000272426	1	16904339	16904776	RP11-108M9.6
ENSG00000204362	1	17189783	17197617	RP11-380J14.1
ENSG00000282843	1	17193232	17201733	RP11-380J14.4
ENSG00000236648	1	17717687	17749978	RP11-473A10.2
ENSG00000261781	1	18065657	18074412	LINC01654
ENSG00000225387	1	18385829	18388514	RP11-422P22.1
ENSG00000227066	1	20154338	20160568	RP3-340N1.2
ENSG00000228105	1	20243095	20244655	LINC01757
ENSG00000236963	1	20360579	20431234	LINC01141
ENSG00000226487	1	20412304	20413253	RP4-749H3.2
ENSG00000236009	1	21415898	21417492	RP11-293F5.1
ENSG00000228397	1	22023990	22026048	LINC01635
ENSG00000218510	1	22024531	22031225	LINC00339
ENSG00000271840	1	22100613	22101360	RP1-224A6.9
ENSG00000261326	1	23281309	23286752	LINC01355
ENSG00000271420	1	23378380	23379029	RP5-1057J7.7
ENSG00000235052	1	23549139	23550915	RP1-150O5.3
ENSG00000230023	1	24200240	24211693	RP11-10N16.2
ENSG00000264443	1	24538802	24556024	RP4-594I10.3
ENSG00000261025	1	24968423	24970865	RP11-84D1.2
ENSG00000233755	1	25043707	25113120	RP4-799D16.1
ENSG00000272432	1	25247837	25248321	RP3-465N24.6
ENSG00000225643	1	25581478	25590356	RP11-70P17.1
ENSG00000241169	1	27457198	27459582	RP4-752I6.1
ENSG00000233975	1	27660328	27662722	RP11-288L9.1
ENSG00000271398	1	28247144	28247568	RP5-1092A3.5
ENSG00000229388	1	28643228	28648581	LINC01715
