ensembl_id	chrom	start	end	name
ENSG00000221083	1	8511795	8511919	SNORA77
ENSG00000252969	1	12221148	12221271	SNORA70
ENSG00000239149	1	12507246	12507397	SNORA59A
ENSG00000238316	1	26642286	26642389	snoU13
ENSG00000274266	1	28507366	28507571	SNORA73A
ENSG00000200087	1	28508559	28508762	SNORA73B
ENSG00000221539	1	28578749	28578822	SNORD99
ENSG00000278274	1	28579764	28579893	SNORA61
ENSG00000273544	1	28580381	28580512	SNORA44
ENSG00000280498	1	28580920	28581054	SNORA16A
ENSG00000274582	1	28580920	28581056	SNORA16A
ENSG00000201542	1	35310274	35310425	SNORA62
ENSG00000201448	1	36418450	36418578	SNORA63
ENSG00000252448	1	37884237	37884317	SNORA63
ENSG00000201457	1	39567374	39567508	SNORA55
ENSG00000264294	1	44775864	44775943	SNORD55
ENSG00000200913	1	44776490	44776593	SNORD46
ENSG00000202031	1	44777843	44777912	SNORD38A
ENSG00000207421	1	44778390	44778456	SNORD38B
ENSG00000281859	1	44778390	44778458	SNORD38B
ENSG00000212624	1	51724775	51724896	SNORA26
ENSG00000201003	1	53771018	53771153	SNORA58
ENSG00000252433	1	67102645	67102779	SNORA31
ENSG00000206620	1	75787072	75787150	SNORD45C
ENSG00000207241	1	75787889	75787972	SNORD45A
ENSG00000201487	1	75789477	75789548	SNORD45B
ENSG00000199959	1	84277321	84277457	SNORA2
ENSG00000199934	1	85592280	85592356	SNORD81
ENSG00000199666	1	90657750	90657964	U3
ENSG00000206680	1	92837289	92837383	SNORD21
ENSG00000207523	1	92840719	92840851	SNORA66
ENSG00000207022	1	92846059	92846182	SNORA51
ENSG00000200536	1	110272484	110272607	SNORA25
ENSG00000238761	1	112371004	112371107	snoU13
ENSG00000207502	1	115621872	115622005	SNORA42
ENSG00000221040	1	116278606	116278821	U3
ENSG00000212266	1	117688621	117688742	SNORA40
ENSG00000253047	1	150600539	150600659	SNORA40
ENSG00000252840	1	151527831	151527938	SNORA44
ENSG00000252920	1	153012482	153012614	SNORA31
ENSG00000201129	1	154259727	154259862	SNORA58
ENSG00000252682	1	154288460	154288527	SNORD59
