ensembl_id	chrom	start	end	name
ENSG00000278267	1	17369	17436	MIR6859-1
ENSG00000284332	1	30366	30503	MIR1302-2
ENSG00000273874	1	187891	187958	MIR6859-2
ENSG00000278791	1	632325	632413	MIR6723
ENSG00000207730	1	1167104	1167198	MIR200B
ENSG00000207607	1	1167863	1167952	MIR200A
ENSG00000198976	1	1169005	1169087	MIR429
ENSG00000278073	1	1296110	1296170	MIR6726
ENSG00000283712	1	1312502	1312566	MIR6727
ENSG00000284372	1	1339650	1339708	MIR6808
ENSG00000283572	1	3127975	3128035	MIR4251
ENSG00000207776	1	3560695	3560790	MIR551A
ENSG00000264341	1	5564071	5564143	MIR4417
ENSG00000264101	1	5862672	5862741	MIR4689
ENSG00000265392	1	6429834	6429896	MIR4252
ENSG00000274258	1	8866502	8866590	MIR6728
ENSG00000284357	1	9151668	9151777	MIR34A
ENSG00000265521	1	9967381	9967458	MIR5697
ENSG00000264881	1	10227718	10227803	MIR1273D
ENSG00000276869	1	12029158	12029222	MIR6729
ENSG00000283789	1	12166943	12167038	MIR7846
ENSG00000263676	1	12191713	12191773	MIR4632
ENSG00000276830	1	12578957	12579023	MIR6730
ENSG00000263811	1	16858949	16859021	MIR3675
ENSG00000266634	1	17277889	17277975	MIR3972
ENSG00000265606	1	18883202	18883275	MIR4695
ENSG00000221662	1	18897071	18897148	MIR1290
ENSG00000284005	1	20633679	20633788	MIR6084
ENSG00000221808	1	20988314	20988432	MIR1256
ENSG00000266564	1	22266239	22266300	MIR4418
ENSG00000276835	1	22633258	22633366	MIR6127
ENSG00000265422	1	22719517	22719598	MIR4684
ENSG00000264014	1	22863159	22863226	MIR4253
ENSG00000263793	1	23044305	23044372	MIR3115
ENSG00000266802	1	23057858	23057934	MIR4419A
ENSG00000264926	1	23929070	23929147	MIR378F
ENSG00000278034	1	24919345	24919416	MIR6731
ENSG00000264371	1	25023503	25023586	MIR4425
ENSG00000283938	1	25906362	25906454	MIR3917
ENSG00000238705	1	26554542	26554593	MIR1976
ENSG00000264773	1	30739156	30739232	MIR4420
ENSG00000266580	1	31758660	31758735	MIR4254
ENSG00000266203	1	32086949	32087007	MIR5585
ENSG00000284154	1	33332393	33332492	MIR3605
ENSG00000207941	1	34669599	34669694	MIR552
ENSG00000264698	1	37161563	37161634	MIR4255
ENSG00000283724	1	37480230	37480289	MIR6732
ENSG00000263675	1	37500935	37500994	MIR5581
ENSG00000265596	1	38089231	38089329	MIR3659
ENSG00000198974	1	40754355	40754446	MIR30E
ENSG00000207962	1	40757284	40757372	MIR30C1
ENSG00000284410	1	43171652	43171712	MIR6733
ENSG00000283836	1	43364648	43364715	MIR6734
ENSG00000274975	1	43448539	43448611	MIR6735
ENSG00000283477	1	43838622	43838683	MIR6079
ENSG00000263381	1	44545493	44545552	MIR5584
ENSG00000265538	1	51059837	51059905	MIR4421
ENSG00000275816	1	51060018	51060103	MIR6500
