ensembl_id	chrom	start	end	name
ENSG00000242590	1	1055033	1056116	RP11-54O7.14
ENSG00000240731	1	1317581	1318689	RP5-890O3.9
ENSG00000272161	1	2326201	2326693	RP4-713A8.1
ENSG00000272420	1	2363061	2363628	RP4-740C4.7
ENSG00000237402	1	7368942	7370270	CAMTA1-IT1
ENSG00000269925	1	7776383	7776775	RP3-467L1.6
ENSG00000236269	1	8875788	8878007	ENO1-IT1
ENSG00000228150	1	9942923	9949974	RP11-84A14.4
ENSG00000241326	1	9983141	9984568	RP11-807G9.2
ENSG00000230068	1	22059197	22064199	CDC42-IT1
ENSG00000237200	1	22517474	22519708	ZBTB40-IT1
ENSG00000269971	1	27773858	27774041	RP3-426I6.5
ENSG00000270031	1	27819983	27820341	RP3-426I6.6
ENSG00000242125	1	28505980	28510892	SNHG3
ENSG00000250135	1	32170733	32176568	RP4-622L5.2
ENSG00000270040	1	39206512	39206957	RP11-416A14.1
ENSG00000233602	1	44243408	44244273	ERI3-IT1
ENSG00000230896	1	45694684	45697075	RP11-767N6.7
ENSG00000225623	1	49374201	49472085	AGBL4-IT1
ENSG00000225030	1	53291791	53292138	RP4-784A16.3
ENSG00000270742	1	61124733	61125202	RP4-802A10.1
ENSG00000116652	1	63547082	63550636	DLEU2L
ENSG00000237852	1	65486406	65494188	RP4-630A11.3
ENSG00000275678	1	67121605	67123956	RP4-547N15.3
ENSG00000269933	1	71005854	71006502	RP3-333A15.2
ENSG00000228853	1	71794232	71837012	NEGR1-IT1
ENSG00000227960	1	81505099	81506296	RP5-837I24.6
ENSG00000233061	1	83979118	83984300	TTLL7-IT1
ENSG00000230735	1	89629725	89676386	RP11-413E1.4
ENSG00000231613	1	89788914	89790492	RP5-943J3.1
ENSG00000230439	1	93752924	93775444	RP11-488P3.1
ENSG00000231992	1	95120147	95138554	RP11-57H12.2
ENSG00000232542	1	97394154	97420141	DPYD-IT1
ENSG00000232558	1	111853762	111856905	KCND3-IT1
ENSG00000282048	1	114032393	114034511	RP4-590F24.2
ENSG00000230921	1	119368946	119370331	HAO2-IT1
ENSG00000232536	1	151540516	151561855	RP11-74C1.4
ENSG00000232937	1	151765709	151766389	RP11-98D18.2
ENSG00000227773	1	155396010	155396978	ASH1L-IT1
ENSG00000226520	1	158025550	158031166	KIRREL-IT1
ENSG00000272574	1	162593103	162593754	RP11-359K18.4
