ensembl_id	chrom	start	end	name
ENSG00000272084	1	19072110	19075511	RP5-1126H10.2
ENSG00000229348	1	43453927	43456995	HYI-AS1
ENSG00000224818	1	201464383	201465146	RP11-134G8.10
ENSG00000281453	1	218442626	218443996	TGFB2-OT1
ENSG00000226920	1	229440284	229441020	RP5-1068B5.5
ENSG00000242540	2	5696220	5708095	AC010729.1
ENSG00000267520	2	60925909	60931610	RP11-373L24.1
ENSG00000243389	2	112589040	112614431	AC012442.5
ENSG00000241772	2	138569090	138574458	AC092620.2
ENSG00000251621	2	161424015	161428774	AC009487.5
ENSG00000234431	2	201166965	201167546	AC007283.5
ENSG00000241409	2	232760146	232767949	AC064852.4
ENSG00000259976	3	114314501	114329714	RP11-553L6.5
ENSG00000273333	6	32184733	32185882	XXbac-BPG300A18.13
ENSG00000250686	6	61630233	61681049	RP1-240B8.3
ENSG00000255343	8	143833270	143834063	RP11-299M14.2
ENSG00000243888	9	69428248	69428721	RP11-548B3.3
ENSG00000240801	11	2129121	2129964	AC132217.4
ENSG00000256185	12	26335864	26336950	RP11-612B6.2
ENSG00000275097	12	31280422	31280895	RP11-627K11.6
ENSG00000259539	15	45152664	45167526	CTD-2651B20.1
ENSG00000271725	15	81303215	81309391	RP11-761I4.4
ENSG00000263244	16	9104848	9113181	RP11-473I1.9
ENSG00000260566	16	23061406	23064173	RP11-20G6.3
ENSG00000260482	16	23670011	23675499	CTD-2196E14.9
ENSG00000260108	16	69463844	69466264	RP11-140H17.1
ENSG00000260772	16	69703065	69704652	RP11-311C24.1
ENSG00000267174	19	11300777	11324441	CTC-510F12.4
ENSG00000273420	19	33207129	33207639	CTD-2540B15.13
ENSG00000186842	21	32572238	32575881	LINC00846
