ensembl_id	chrom	start	end	name
ENSG00000239906	1	139790	140339	RP11-34P13.14
ENSG00000229905	1	760911	761989	RP11-206L10.4
ENSG00000224969	1	1011997	1013193	RP11-54O7.11
ENSG00000205231	1	1173056	1179555	TTLL10-AS1
ENSG00000225905	1	1420245	1422691	RP4-758J18.7
ENSG00000272106	1	1613758	1615795	RP11-345P4.9
ENSG00000272004	1	1659325	1662602	RP11-345P4.10
ENSG00000231050	1	1891471	1892658	RP1-140A9.1
ENSG00000233542	1	2013213	2015530	RP11-547D24.1
ENSG00000226969	1	2049203	2050070	RP11-547D24.3
ENSG00000271806	1	2141084	2145279	RP5-892K4.1
ENSG00000182873	1	2181794	2184389	PRKCZ-AS1
ENSG00000224387	1	2492300	2493258	RP3-395M20.2
ENSG00000229393	1	2493437	2494479	RP3-395M20.3
ENSG00000238164	1	2549920	2557031	RP3-395M20.8
ENSG00000237058	1	2632568	2636620	RP13-436F16.1
ENSG00000283259	1	2773603	2776473	ABC14-1188822O7.1
ENSG00000177133	1	3059615	3068437	LINC00982
ENSG00000226286	1	3132927	3133709	RP1-163G9.2
ENSG00000238260	1	3623190	3624743	RP11-46F15.2
ENSG00000227589	1	3658938	3668772	RP5-1092A11.5
ENSG00000235131	1	3712200	3714298	RP5-1092A11.2
ENSG00000272153	1	3785008	3785538	RP1-286D6.5
ENSG00000226944	1	6204840	6205780	RP1-120G22.11
ENSG00000271746	1	6393555	6394391	RP1-202O8.3
ENSG00000231868	1	6443034	6447006	RP1-202O8.2
ENSG00000237436	1	6783892	6784843	RP11-312B8.1
ENSG00000237365	1	7008376	7014279	RP11-334N17.1
ENSG00000237728	1	7382487	7389754	RP3-453P22.2
ENSG00000225126	1	7441096	7441554	RP4-549F15.1
ENSG00000236266	1	7810242	7827342	RP3-467L1.4
ENSG00000232912	1	8424645	8434838	RP5-1115A15.1
ENSG00000230679	1	8878835	8879894	ENO1-AS1
ENSG00000179840	1	9652610	9654586	PIK3CD-AS1
ENSG00000231789	1	9672426	9687555	PIK3CD-AS2
ENSG00000223989	1	9848318	9850154	RP11-84A14.5
ENSG00000271989	1	10429881	10430677	RP4-736L20.3
ENSG00000203469	1	10458555	10459338	RP5-1113E3.3
ENSG00000272078	1	10639241	10654333	RP4-734G22.3
ENSG00000271895	1	11029659	11030528	RP4-635E18.8
ENSG00000226849	1	11068471	11073097	RP4-635E18.7
ENSG00000230337	1	11099675	11102100	RP4-635E18.6
ENSG00000225602	1	11143898	11149537	MTOR-AS1
ENSG00000177553	1	11777077	11779619	RP11-56N19.5
ENSG00000242349	1	11841017	11848079	NPPA-AS1
ENSG00000259961	1	13513220	13516270	RP4-597A16.2
ENSG00000175147	1	15111815	15152464	TMEM51-AS1
ENSG00000233485	1	15326680	15343876	RP3-467K16.2
ENSG00000236045	1	15334166	15335464	RP3-467K16.7
ENSG00000272510	1	15565611	15565956	RP4-680D5.8
ENSG00000237301	1	15586136	15603626	RP4-680D5.2
ENSG00000237938	1	15720312	15736896	RP11-288I21.1
ENSG00000224459	1	15740051	15749896	RP11-169K16.4
ENSG00000179743	1	15834474	15848147	FLJ37453
ENSG00000233078	1	16006160	16006671	RP11-5P18.5
ENSG00000227959	1	16155211	16157329	RP11-276H7.2
ENSG00000224621	1	16159266	16161883	RP11-276H7.3
ENSG00000234166	1	16197854	16198357	ARHGEF19-AS1
ENSG00000226526	1	16978926	17005091	RP1-37C10.3
ENSG00000227751	1	17406760	17407382	RP1-20B21.4
ENSG00000230035	1	18166929	18179346	RP11-174G17
ENSG00000230424	1	19210501	19240704	RP1-43E13.2
ENSG00000235185	1	19591802	19596832	RP5-1056L3.1
ENSG00000235434	1	19814367	19819502	RP11-91K11.2
ENSG00000225986	1	20184242	20186486	UBXN10-AS1
ENSG00000226664	1	20294211	20323187	RP4-745E8.2
ENSG00000117242	1	20642657	20652193	PINK1-AS
ENSG00000233069	1	20732880	20733952	RP5-930J4.2
ENSG00000236936	1	21266082	21267251	RP3-329E20.2
ENSG00000231105	1	21293290	21299774	RP5-1071N3.1
ENSG00000233431	1	21586472	21591187	RP11-63N8.3
ENSG00000225952	1	22835713	22836849	RP11-69E9.1
ENSG00000240553	1	23020147	23088058	RP1-184J9.2
ENSG00000249087	1	23368997	23371839	ZNF436-AS1
ENSG00000236810	1	23760382	23778287	ELOA-AS1
ENSG00000232557	1	23907111	23907885	RP11-4M23.3
ENSG00000225315	1	24040835	24086799	RP11-293P20.2
ENSG00000230703	1	24066774	24083565	RP11-293P20.4
ENSG00000232298	1	24307556	24321901	RP11-10N16.3
ENSG00000229162	1	24961345	24963097	RP11-84D1.1
ENSG00000231953	1	25208139	25209437	RP4-706G24.1
ENSG00000233478	1	25644544	25659111	RP1-187B23.1
ENSG00000228172	1	25816749	25820797	RP1-317E23.3
ENSG00000272478	1	25831913	25832134	RP1-317E23.7
ENSG00000236528	1	25859613	25863420	RP1-125I3.2
ENSG00000225891	1	26462756	26467282	RP3-476K8.3
ENSG00000260063	1	26692132	26694131	RP5-968P14.2
ENSG00000226698	1	26876133	26878245	RP1-50O24.6
ENSG00000224311	1	27229106	27234352	RP11-40H20.4
ENSG00000237429	1	27525805	27530561	RP1-159A19.4
ENSG00000225886	1	27669468	27703063	RP11-288L9.4
ENSG00000227050	1	27938875	27960193	RP11-460I13.2
ENSG00000270605	1	28239509	28241453	RP5-1092A3.4
ENSG00000197989	1	28578538	28582983	SNHG12
ENSG00000233427	1	28870483	28877336	RP1-212P9.3
ENSG00000237934	1	29223933	29224816	RP11-467D18.2
ENSG00000186056	1	30718504	30726827	MATN1-AS1
ENSG00000235143	1	30858158	30860254	RP1-65J11.5
ENSG00000229044	1	31333067	31346799	RP11-266K22.2
ENSG00000229167	1	31571585	31575573	RP11-73M7.1
ENSG00000235790	1	31644049	31660162	RP11-73M7.6
ENSG00000264078	1	31644694	31649371	RP11-73M7.9
ENSG00000254545	1	31789130	31791322	RP11-84A19.3
ENSG00000203325	1	32052291	32073474	RP11-277A4.4
ENSG00000224066	1	32204769	32206814	RP4-622L5.7
ENSG00000224409	1	32717734	32725237	RP11-114B7.6
ENSG00000236065	1	32987075	33032469	RP1-117O3.2
ENSG00000225313	1	33307348	33349245	RP11-415J8.3
ENSG00000233246	1	33350352	33363245	RP11-415J8.5
ENSG00000231163	1	33868953	33885458	CSMD2-AS1
ENSG00000255811	1	34761426	34788097	RP1-34M23.5
ENSG00000230163	1	34850694	34851555	RP5-997D16.2
ENSG00000227409	1	35358822	35366077	ZMYM4-AS1
ENSG00000239636	1	35569813	35577729	RP4-728D4.2
ENSG00000232335	1	35739389	35743576	RP11-435D7.3
ENSG00000271554	1	35992109	36013630	RP4-665N4.8
ENSG00000116883	1	36323734	36329221	RP11-268J15.5
ENSG00000234481	1	36773140	36775768	RP4-614N24.1
ENSG00000233621	1	37454879	37474411	LINC01137
ENSG00000233728	1	37799720	37800879	RP11-109P14.9
ENSG00000230955	1	37860697	37861580	RP11-109P14.10
ENSG00000228436	1	38860000	38919396	RP5-864K19.4
ENSG00000226438	1	39249838	39257649	RP11-420K8.1
ENSG00000182109	1	39522280	39546187	RP11-69E11.4
ENSG00000228060	1	39565160	39573203	RP11-69E11.8
ENSG00000225903	1	39633416	39633903	RP1-144F13.3
ENSG00000261798	1	39788976	39790171	RP1-118J21.25
ENSG00000236546	1	39897745	39899098	RP1-118J21.5
ENSG00000259943	1	40256427	40257967	RP1-39G22.7
ENSG00000238287	1	40493157	40508661	RP11-656D10.3
ENSG00000227278	1	40514461	40515057	RP11-656D10.5
ENSG00000238186	1	40515754	40517174	RP11-656D10.6
ENSG00000272145	1	40690380	40692066	NFYC-AS1
ENSG00000229528	1	40863914	40876670	RP5-1066H13.4
ENSG00000281207	1	41014590	41043890	SLFNL1-AS1
ENSG00000229901	1	41375004	41375669	RP11-399E6.4
ENSG00000230881	1	41535443	41535868	RP11-486B10.3
ENSG00000228452	1	42775813	42776790	RP5-994D16.9
ENSG00000228192	1	42834681	42846422	RP11-342M1.3
ENSG00000234694	1	43354684	43358658	RP1-92O14.3
ENSG00000229431	1	43385113	43389155	RP1-92O14.6
ENSG00000229372	1	43447776	43448644	SZT2-AS1
ENSG00000236200	1	43699765	43708138	KDM4A-AS1
ENSG00000229444	1	43709392	43727343	RP11-184I16.4
ENSG00000237950	1	43944370	43946551	RP11-7O11.3
ENSG00000225721	1	44759037	44775810	RP11-269F19.2
ENSG00000226957	1	46046818	46048368	RP4-533D7.4
ENSG00000227857	1	46134531	46139081	RP4-533D7.5
ENSG00000269956	1	46538696	46570255	MKNK1-AS1
ENSG00000228237	1	46674036	46692098	EFCAB14-AS1
ENSG00000224805	1	47179250	47180339	LINC00853
ENSG00000226252	1	47225797	47230750	RP1-18D14.7
ENSG00000225762	1	47380928	47408477	LINC01389
ENSG00000237424	1	47432133	47434641	FOXD2-AS1
ENSG00000272491	1	48227888	48229561	RP5-1024N4.4
ENSG00000229846	1	49048316	49187585	RP11-141A19.1
ENSG00000230114	1	49257411	49269285	RP11-141A19.2
ENSG00000237337	1	50174306	50175868	RP11-567C20.2
ENSG00000233407	1	50206084	50223127	RP11-567C20.3
ENSG00000225767	1	50461469	50471150	RP5-850O15.3
ENSG00000236434	1	51264916	51266074	RP11-296A18.6
ENSG00000261664	1	51329654	51335324	TTC39A-AS1
ENSG00000238140	1	51461721	51463416	RP11-253A20.1
ENSG00000227070	1	51518309	51561629	RP11-191G24.1
ENSG00000266993	1	51793934	51799154	RP4-657D16.3
ENSG00000272175	1	51801028	51801307	RP4-657D16.6
ENSG00000223390	1	52033391	52044279	RP11-91A18.4
ENSG00000228369	1	52050918	52052683	TXNDC12-AS1
ENSG00000272100	1	52353487	52353877	RP11-155O18.6
ENSG00000242391	1	52881216	52881730	RP4-631H13.2
ENSG00000232993	1	53069938	53085502	RP11-334A14.5
ENSG00000235563	1	53114576	53118609	RP11-334A14.8
ENSG00000236723	1	53209783	53213775	RP5-1024G6.2
ENSG00000259818	1	53220663	53224253	RP5-1024G6.7
ENSG00000226754	1	53238610	53242783	RP5-1024G6.5
ENSG00000234578	1	53267935	53268601	RP4-784A16.1
ENSG00000228838	1	53288024	53289706	RP4-784A16.2
ENSG00000232762	1	53304536	53307462	RP4-784A16.4
ENSG00000280425	1	54137746	54142980	RP11-446E24.3
ENSG00000198711	1	54236440	54239063	SSBP3-AS1
ENSG00000225632	1	54285405	54287371	RP5-997D24.3
ENSG00000237453	1	54792885	54794905	RP11-67L3.2
ENSG00000242396	1	54886875	54888001	RP11-67L3.5
ENSG00000233203	1	54887563	54888850	RP11-67L3.4
ENSG00000233271	1	54980950	54992274	RP11-12C17.2
ENSG00000229913	1	56823679	56826920	RP11-378I13.1
ENSG00000236341	1	56963886	56996757	RP5-1103B4.3
ENSG00000226759	1	57860532	57880905	DAB1-AS1
ENSG00000226883	1	59754747	59789182	RP4-782L23.2
ENSG00000237928	1	60940239	60970776	NFIA-AS2
ENSG00000235545	1	62688482	62710694	RP11-230B22.1
ENSG00000230798	1	63320884	63324441	FOXD3-AS1
ENSG00000223949	1	64094442	64171297	ROR1-AS1
ENSG00000229294	1	65279456	65306521	RP5-1044H5.1
ENSG00000227466	1	66042500	66050718	RP11-397C12.1
ENSG00000248458	1	66665864	66677027	RP4-598P13.1
ENSG00000231080	1	66826942	66828558	RP11-342H21.2
ENSG00000232284	1	67832303	68202987	GNG12-AS1
ENSG00000233589	1	68479129	68483539	RP4-694A7.2
ENSG00000234264	1	68496676	68538627	DEPDC1-AS1
ENSG00000237919	1	70013982	70031222	RP11-181B18.1
ENSG00000228988	1	70218589	70221023	RP4-677H15.4
ENSG00000226088	1	70359562	70360437	RP11-180O5.2
ENSG00000235782	1	70947379	70951493	RP3-333A15.1
ENSG00000235079	1	71048855	71067184	ZRANB2-AS1
ENSG00000231985	1	71570956	71573558	RP11-82L20.1
ENSG00000237324	1	74341579	74378802	RP11-439H8.4
ENSG00000233894	1	74468195	74469543	RP4-650F12.2
ENSG00000234497	1	74577430	74626098	ERICH3-AS1
ENSG00000224127	1	75127830	75133058	RP11-510C10.2
ENSG00000224149	1	75129974	75132576	RP11-510C10.3
ENSG00000178193	1	75710003	75724011	RP4-682C21.5
ENSG00000230498	1	77067920	77078482	RP4-564M11.2
ENSG00000233099	1	77346046	77349585	RP11-375A5.1
ENSG00000235927	1	77881348	77889539	NEXN-AS1
ENSG00000273338	1	78004346	78004554	RP11-386I14.4
ENSG00000234953	1	81513880	81557702	RP5-837I24.2
ENSG00000236676	1	81585941	81625713	RP5-837I24.4
ENSG00000223653	1	85276715	85448124	RP11-131L23.1
ENSG00000236915	1	86571181	86693203	RP4-651E10.4
ENSG00000261737	1	86703502	86704462	RP4-612B15.3
