ensembl_id	chrom	start	end	name
ENSG00000264293	1	1405460	1405752	RN7SL657P
ENSG00000276189	1	3736943	3737103	TP73-AS1
ENSG00000266075	1	3782815	3783111	RN7SL574P
ENSG00000200344	1	7982881	7982983	Y_RNA
ENSG00000252254	1	8328067	8328179	Y_RNA
ENSG00000222511	1	8796571	8796673	Y_RNA
ENSG00000265141	1	8979576	8979874	RN7SL451P
ENSG00000202415	1	9947318	9947636	RN7SKP269
ENSG00000264501	1	10306465	10306757	RN7SL731P
ENSG00000243267	1	10616836	10617115	RN7SL614P
ENSG00000276470	1	11843812	11843984	NPPA-AS1_1
ENSG00000278852	1	11845549	11845697	NPPA-AS1_2
ENSG00000275915	1	11847442	11847549	NPPA-AS1_3
ENSG00000202461	1	12024012	12024124	Y_RNA
ENSG00000243539	1	12036740	12037014	RN7SL649P
ENSG00000240490	1	19424384	19424671	RN7SL277P
ENSG00000242688	1	19970969	19971269	RN7SL304P
ENSG00000273610	1	21987481	21987777	RN7SL386P
ENSG00000278124	1	22010650	22010946	RN7SL186P
ENSG00000201405	1	23370254	23370346	Y_RNA
ENSG00000239106	1	24625411	24625513	Y_RNA
ENSG00000207302	1	25877496	25877605	Y_RNA
ENSG00000243905	1	26593243	26593546	RN7SL679P
ENSG00000252802	1	26593940	26594041	Y_RNA
ENSG00000241188	1	26814822	26815112	RN7SL165P
ENSG00000252098	1	27255464	27255567	Y_RNA
ENSG00000240750	1	28031884	28032180	RN7SL559P
ENSG00000206779	1	28422555	28422655	Y_RNA
ENSG00000199756	1	28881726	28881835	Y_RNA
ENSG00000206704	1	28985710	28985810	Y_RNA
ENSG00000277958	1	29041199	29041480	Metazoa_SRP
ENSG00000277916	1	29171285	29171453	uc_338
ENSG00000222784	1	30843823	30844110	RN7SKP91
ENSG00000266210	1	30918469	30918735	RN7SL371P
ENSG00000265961	1	31503631	31503744	Y_RNA
ENSG00000276493	1	32087523	32087813	Metazoa_SRP
ENSG00000277617	1	32269338	32269597	Metazoa_SRP
ENSG00000252450	1	32286452	32286561	Y_RNA
ENSG00000263529	1	32457835	32458135	RN7SL122P
ENSG00000200591	1	32639951	32640052	Y_RNA
ENSG00000276645	1	33029232	33029576	Metazoa_SRP
ENSG00000222112	1	33336566	33336864	RN7SKP16
ENSG00000201868	1	35195969	35196062	Y_RNA
ENSG00000240374	1	35292196	35292498	RN7SL503P
ENSG00000278702	1	35399997	35400319	Metazoa_SRP
ENSG00000264592	1	36191915	36192170	RN7SL131P
ENSG00000200421	1	37737955	37738054	Y_RNA
ENSG00000277168	1	37953508	37953780	Metazoa_SRP
ENSG00000207466	1	38950825	38950925	Y_RNA
ENSG00000202222	1	39881566	39881678	Y_RNA
ENSG00000207356	1	39944890	39944998	Y_RNA
ENSG00000264582	1	40804846	40805141	RN7SL326P
ENSG00000239560	1	44117098	44117397	RN7SL479P
ENSG00000200171	1	44153385	44153480	Y_RNA
ENSG00000200262	1	51107222	51107331	Y_RNA
ENSG00000264613	1	51995740	51996039	RN7SL290P
ENSG00000241745	1	52150104	52150419	RN7SL788P
ENSG00000239640	1	52714399	52714695	RN7SL62P
ENSG00000199831	1	55376526	55376852	RN7SKP291
ENSG00000272051	1	55484871	55484972	Y_RNA
ENSG00000264128	1	58565631	58565932	RN7SL713P
ENSG00000265535	1	59974757	59975054	RN7SL475P
ENSG00000242860	1	62072448	62072741	RN7SL180P
ENSG00000200174	1	62211557	62211666	Y_RNA
ENSG00000252784	1	63338263	63338372	Y_RNA
ENSG00000264271	1	63529613	63529898	RN7SL488P
ENSG00000276884	1	63548977	63549112	DLEU2_6
ENSG00000278287	1	63549133	63549216	DLEU2_5
ENSG00000277565	1	63549227	63549284	DLEU2_4
ENSG00000275823	1	63549294	63549366	DLEU2_3
ENSG00000277689	1	63549374	63549463	DLEU2_2
ENSG00000274199	1	63549489	63549608	DLEU2_1
ENSG00000244256	1	63655743	63656047	RN7SL130P
ENSG00000200508	1	64066640	64066741	Y_RNA
ENSG00000239319	1	65761058	65761352	RN7SL854P
ENSG00000242482	1	67656831	67657129	RN7SL392P
ENSG00000240692	1	69879592	69879895	RN7SL538P
ENSG00000244389	1	70180144	70180440	RN7SL242P
ENSG00000278636	1	70430896	70431178	Metazoa_SRP
ENSG00000251825	1	73191604	73191855	RN7SKP19
ENSG00000243437	1	77645324	77645618	RN7SL370P
ENSG00000223026	1	81251789	81252096	RN7SKP247
ENSG00000223254	1	85264296	85264402	Y_RNA
ENSG00000199459	1	85435175	85435284	Y_RNA
ENSG00000239504	1	88477828	88478114	RN7SL583P
ENSG00000274321	1	88520000	88520170	uc_338
