ensembl_id	chrom	start	end	name
ENSG00000222623	1	157784	157887	RNU6-1100P
ENSG00000278757	1	516376	516479	U6
ENSG00000223181	1	758233	758336	RNU6-1199P
ENSG00000253022	1	6540854	6540964	RNU6-731P
ENSG00000207056	1	7219360	7219524	RNU1-8P
ENSG00000200975	1	8206434	8206597	RNU1-7P
ENSG00000251977	1	8292157	8292263	RNU6-991P
ENSG00000201725	1	8883427	8883533	RNU6-304P
ENSG00000201746	1	10163268	10163374	RNU6-828P
ENSG00000199562	1	10298966	10299072	RNU6-37P
ENSG00000253086	1	11152350	11152452	RNU6-537P
ENSG00000207451	1	11226254	11226360	RNU6-291P
ENSG00000199347	1	11908152	11908271	RNU5E-1
ENSG00000201801	1	11909808	11909927	RNU5E-4P
ENSG00000201135	1	12077881	12077984	RNU6-777P
ENSG00000221340	1	12569972	12570072	RNU6ATAC18P
ENSG00000207434	1	12922554	12922660	RNU6-1072P
ENSG00000207511	1	13279125	13279231	RNU6-771P
ENSG00000252151	1	14124233	14124335	RNU6-1265P
ENSG00000252417	1	15608078	15608145	RNU7-179P
ENSG00000206652	1	16514122	16514285	RNU1-1
ENSG00000277344	1	16534081	16534224	RNU1-6P
ENSG00000207513	1	16666785	16666948	RNU1-3
ENSG00000207389	1	16740516	16740679	RNU1-4
ENSG00000277234	1	16873708	16873851	RNU1-5P
ENSG00000207005	1	16895980	16896143	RNU1-2
ENSG00000200403	1	19305076	19305182	RNU6-1099P
ENSG00000201609	1	19510593	19510733	RNU4-28P
ENSG00000251914	1	20841241	20841302	RNU7-200P
ENSG00000201919	1	21987816	21987919	RNU6-1022P
ENSG00000201273	1	22010985	22011088	RNU6-776P
ENSG00000206935	1	23162704	23162810	RNU6-514P
ENSG00000252578	1	23163953	23164053	RNU6-135P
ENSG00000238482	1	24777873	24777979	RNU6-1208P
ENSG00000207237	1	25964197	25964300	RNU6-110P
ENSG00000252429	1	26602369	26602432	RNU7-29P
ENSG00000206888	1	27325219	27325325	RNU6-48P
ENSG00000206767	1	27675603	27675709	RNU6-949P
ENSG00000207095	1	27693731	27693835	RNU6-424P
ENSG00000223062	1	27824538	27824643	RNU6-1245P
ENSG00000253005	1	28142737	28142841	RNU6-176P
ENSG00000221216	1	28481362	28481480	RNU6ATAC27P
ENSG00000274978	1	28648600	28648733	RNU11
ENSG00000206981	1	31497577	31497683	RNU6-40P
ENSG00000222821	1	36402721	36402859	RNU4-27P
ENSG00000207328	1	37203610	37203716	RNU6-636P
ENSG00000222282	1	37885023	37885117	RNU6-584P
ENSG00000212541	1	37991462	37991569	RNU6-510P
ENSG00000200796	1	38396659	38396765	RNU6-753P
ENSG00000199963	1	38926870	38926977	RNU6-605P
ENSG00000206654	1	39120940	39121043	RNU6-608P
ENSG00000252413	1	39723566	39723627	RNU7-121P
ENSG00000207508	1	40177843	40177949	RNU6-1237P
ENSG00000200254	1	42569033	42569139	RNU6-536P
ENSG00000207256	1	42991438	42991544	RNU6-880P
ENSG00000283136	1	43023549	43023637	U6
ENSG00000283414	1	43716467	43716556	U6
ENSG00000199385	1	44390722	44390823	RNU6-369P
ENSG00000199377	1	44721786	44721902	RNU5F-1
ENSG00000200169	1	44731055	44731170	RNU5D-1
ENSG00000202444	1	44819883	44819997	RNU5E-6P
ENSG00000206700	1	48344209	48344315	RNU6-723P
ENSG00000223175	1	48447936	48448042	RNU4-61P
ENSG00000207194	1	50582404	50582511	RNU6-1026P
ENSG00000206595	1	51382308	51382414	RNU6-877P
ENSG00000252032	1	51538625	51538729	RNU6-1281P
ENSG00000252018	1	52754322	52754462	RNU2-30P
ENSG00000206627	1	52805108	52805212	RNU6-969P
ENSG00000239007	1	53688749	53688812	RNU7-95P
ENSG00000252162	1	55398514	55398620	RNU6-830P
ENSG00000200575	1	61816419	61816522	RNU6-414P
ENSG00000212360	1	61852499	61852602	RNU6-1177P
ENSG00000201153	1	62298149	62298256	RNU6-371P
ENSG00000251720	1	63536711	63536770	RNU7-123P
ENSG00000207190	1	64028894	64029000	RNU6-809P
ENSG00000238653	1	64384398	64384459	RNU7-62P
ENSG00000212257	1	65022968	65023074	RNU6-1176P
ENSG00000222624	1	65415816	65416006	RNU2-15P
ENSG00000223152	1	66094461	66094546	RNU4-88P
ENSG00000253074	1	67196140	67196243	RNU6-586P
ENSG00000252116	1	67267601	67267726	RNU4ATAC4P
ENSG00000223263	1	67417214	67417318	RNU6-387P
ENSG00000207504	1	67541127	67541233	RNU6-1031P
ENSG00000238778	1	67772593	67772653	RNU7-80P
ENSG00000212366	1	72717663	72717769	RNU6-1246P
ENSG00000252005	1	73883714	73883822	RNU4ATAC8P
ENSG00000206999	1	75183045	75183147	RNU6-622P
ENSG00000252338	1	75538015	75538119	RNU6-503P
ENSG00000199921	1	76753135	76753240	RNU6-161P
ENSG00000251767	1	77420325	77420386	RNU7-8P
ENSG00000251958	1	78088988	78089083	RNU6-1102P
ENSG00000207234	1	88816779	88816885	RNU6-125P
ENSG00000212459	1	90253456	90253559	RNU6-695P
ENSG00000201317	1	92700819	92700934	RNU4-59P
ENSG00000252121	1	92969604	92969710	RNU6-970P
ENSG00000252752	1	93010257	93010351	RNU6-210P
ENSG00000200800	1	96225901	96226060	RNU1-130P
ENSG00000201491	1	99784740	99784885	RNU4-75P
ENSG00000212248	1	99978939	99979045	RNU6-750P
ENSG00000202259	1	100000637	100000739	RNU6-1318P
ENSG00000252530	1	101728642	101728737	RNU6-965P
ENSG00000252717	1	101859851	101859957	RNU6-352P
ENSG00000206832	1	109591534	109591640	RNU6V
ENSG00000200360	1	111490317	111490423	RNU6-792P
ENSG00000201028	1	111650431	111650537	RNU6-151P
ENSG00000252750	1	112634719	112634784	RNU7-70P
ENSG00000212385	1	116413766	116413869	RNU6-817P
ENSG00000194297	1	119331397	119331525	RNU1-75P
ENSG00000207149	1	120126974	120127074	RNU6-465P
ENSG00000273727	1	120354987	120355148	U1
ENSG00000273694	1	120571120	120571264	U2
ENSG00000275538	1	120850819	120850985	RNVU1-19
ENSG00000277610	1	120942600	120942763	RNVU1-4
ENSG00000273516	1	121008362	121008507	U1
ENSG00000202167	1	143652050	143652215	RNU1-114P
ENSG00000207349	1	143699456	143699619	RNVU1-17
ENSG00000252826	1	143720510	143720644	RNU1-92P
ENSG00000206737	1	143729407	143729570	RNVU1-18
ENSG00000252105	1	143791542	143791687	RNU1-143P
ENSG00000207205	1	144412576	144412740	RNVU1-15
ENSG00000275291	1	144523860	144524021	U1
ENSG00000278099	1	144551779	144551943	U1
ENSG00000277918	1	144560666	144560829	U1
ENSG00000277678	1	145169519	145169664	U1
ENSG00000207501	1	145281116	145281279	RNVU1-14
ENSG00000270384	1	145431527	145431693	U1
ENSG00000270722	1	145465617	145465780	U1
ENSG00000201558	1	146052081	146052244	RNVU1-6
ENSG00000201789	1	146288596	146288696	RNU6-1071P
ENSG00000273768	1	146376807	146376970	U1
ENSG00000274428	1	146409903	146410062	U1
ENSG00000274450	1	146862729	146862845	U6atac
ENSG00000201142	1	147079746	147079870	RNVU1-8
ENSG00000206791	1	148014417	148014583	RNU1-129P
ENSG00000206585	1	148038753	148038916	RNVU1-7
ENSG00000199879	1	148263476	148263632	RNU1-120P
ENSG00000202408	1	148334612	148334767	RNU1-122P
ENSG00000207340	1	148362370	148362533	RNVU1-1
ENSG00000252135	1	148385829	148385963	RNVU1-2
ENSG00000238825	1	148388490	148388651	RNU1-13P
ENSG00000201183	1	148402715	148402875	RNVU1-3
ENSG00000274210	1	148522601	148522765	U1
ENSG00000252515	1	148739379	148739479	RNU6-1171P
ENSG00000222788	1	148939739	148939817	RNU2-38P
ENSG00000201699	1	149162783	149162944	RNU1-59P
ENSG00000206828	1	149636766	149636929	U1
ENSG00000275229	1	149700151	149700296	RNU1-68P
ENSG00000222222	1	150236967	150237156	RNU2-17P
ENSG00000276103	1	150608507	150608623	U4
ENSG00000206931	1	150701866	150701972	RNU6-1042P
ENSG00000200175	1	150812591	150812698	RNU6-1309P
ENSG00000200759	1	151022746	151022852	RNU6-884P
ENSG00000206635	1	151629324	151629430	RNU6-1062P
ENSG00000206980	1	151747597	151747700	RNU6-662P
ENSG00000207321	1	153331622	153331728	RNU6-160P
ENSG00000200220	1	154039916	154040022	RNU6-179P
ENSG00000212292	1	154295503	154295601	RNU6-239P
ENSG00000222457	1	154297650	154297748	RNU6-121P
ENSG00000238365	1	154338743	154338802	RNU7-57P
ENSG00000207134	1	155358712	155358818	RNU6-106P
ENSG00000207144	1	155419397	155419500	RNU6-1297P
ENSG00000283442	1	155894281	155894386	U4
ENSG00000201608	1	160392768	160392909	RNU4-42P
ENSG00000206921	1	161401289	161401395	RNU6-481P
ENSG00000199849	1	164351273	164351388	RNU5F-6P
ENSG00000207082	1	164639565	164639671	RNU6-171P
ENSG00000201270	1	164980035	164980137	RNU6-755P
ENSG00000206880	1	168263375	168263481	RNU6-1310P
ENSG00000206684	1	172366540	172366646	RNU6-157P
ENSG00000251943	1	172613428	172613534	RNU6-693P
ENSG00000252552	1	174996524	174996629	RNU6-307P
ENSG00000273629	1	176217541	176217602	U7
ENSG00000253025	1	176243862	176244029	RNU2-12P
ENSG00000251875	1	179576268	179576349	RNU5F-2P
ENSG00000283575	1	180758722	180758817	U6
ENSG00000206764	1	182327068	182327174	RNU6-152P
ENSG00000207472	1	182982212	182982318	RNU6-41P
ENSG00000252222	1	184821428	184821489	RNU7-13P
ENSG00000252407	1	185434244	185434305	RNU7-183P
ENSG00000202025	1	186311825	186311928	RNU6-1240P
ENSG00000251813	1	194488103	194488205	RNU6-983P
ENSG00000200139	1	199888159	199888261	RNU6-778P
ENSG00000202491	1	200008505	200008607	RNU6-716P
ENSG00000202329	1	200014689	200014795	RNU6-609P
ENSG00000252860	1	200054061	200054165	RNU6-570P
ENSG00000201032	1	200933345	200933447	RNU6-704P
ENSG00000200942	1	201733406	201733505	RNU6-501P
ENSG00000272262	1	202410108	202410207	RNU6-89P
ENSG00000202300	1	203318996	203319099	RNU6-487P
ENSG00000253097	1	205566716	205566799	RNU2-19P
ENSG00000206762	1	205595041	205595147	RNU6-418P
ENSG00000200972	1	210374154	210374267	RNU5A-8P
ENSG00000201493	1	218129795	218129952	RNU1-141P
ENSG00000276642	1	220825776	220825893	U6atac
ENSG00000200033	1	221837334	221837437	RNU6-403P
ENSG00000222399	1	222503632	222503735	RNU6-791P
ENSG00000251789	1	223373822	223373956	RNU4-57P
ENSG00000212398	1	223690051	223690114	RNU6-1248P
ENSG00000212157	1	223976146	223976249	RNU6-1319P
ENSG00000206887	1	224305380	224305483	RNU6-1008P
ENSG00000223306	1	225741275	225741380	RNU6-1304P
ENSG00000252506	1	229383128	229383188	RNU6-180P
ENSG00000199672	1	229535064	229535189	RNU4-21P
ENSG00000222986	1	231670635	231670750	RNU5A-5P
ENSG00000238382	1	232700204	232700308	RNU6-1211P
ENSG00000206835	1	232832017	232832187	RNU1-74P
ENSG00000252501	1	233448626	233448781	RNU4-77P
ENSG00000206803	1	235915415	235915521	RNU6-968P
ENSG00000222650	1	236267780	236267958	RNU2-70P
ENSG00000252371	1	238325687	238325788	RNU6-725P
ENSG00000251750	1	240653367	240653477	RNU5F-8P
ENSG00000212230	1	243081156	243081259	RNU6-747P
ENSG00000252073	1	244954858	244954963	RNU6-947P
ENSG00000252282	1	245023015	245023118	RNU6-1089P
ENSG00000251754	1	245043928	245044032	RNU6-999P
ENSG00000201170	1	245133927	245134090	RNU1-132P
ENSG00000202184	1	246189014	246189118	RNU6-1283P
ENSG00000283369	1	247607126	247607201	U6
ENSG00000200495	1	248912690	248912795	RNU6-1205P
ENSG00000207192	2	4945277	4945383	RNU6-649P
ENSG00000221255	2	7576841	7576971	RNU6ATAC37P
ENSG00000200034	2	9740643	9740783	RNU4-73P
ENSG00000239053	2	10744186	10744249	RNU7-138P
ENSG00000238962	2	10815485	10815546	RNU7-176P
ENSG00000207267	2	11233988	11234094	RNU6-1081P
ENSG00000251718	2	11561194	11561306	RNU2-13P
ENSG00000207183	2	12411398	12411501	RNU6-843P
ENSG00000251859	2	14274622	14274725	RNU6-1288P
ENSG00000202160	2	15864935	15865051	RNU5E-7P
ENSG00000207170	2	18583367	18583468	RNU6-1215P
ENSG00000200763	2	20175805	20175909	RNU6-961P
ENSG00000238735	2	20246326	20246387	RNU7-113P
ENSG00000222940	2	24045835	24045938	RNU6-370P
ENSG00000206732	2	24676309	24676415	RNU6-936P
ENSG00000199872	2	26042675	26042781	RNU6-942P
ENSG00000200003	2	27475494	27475595	RNU6-986P
ENSG00000201113	2	32214456	32214562	RNU6-647P
ENSG00000207255	2	35471605	35471708	RNU6-1117P
ENSG00000252756	2	36867398	36867495	RNU6-577P
ENSG00000207364	2	37331770	37331876	RNU6-939P
ENSG00000253078	2	37435510	37435608	RNU6-1116P
ENSG00000199603	2	38147415	38147521	RNU6-951P
ENSG00000207295	2	38884560	38884666	RNU6-851P
ENSG00000206985	2	39082589	39082692	RNU6-198P
ENSG00000223245	2	41871271	41871388	RNU4-63P
ENSG00000200550	2	42712740	42712847	RNU6-137P
ENSG00000207087	2	43091388	43091494	RNU6-242P
ENSG00000252804	2	43408307	43408412	RNU6-958P
ENSG00000200924	2	43892690	43892796	RNU6-1048P
ENSG00000252599	2	44154789	44154895	RNU6-566P
ENSG00000283502	2	47781379	47781465	U6
ENSG00000251889	2	48340687	48340826	RNU4-49P
ENSG00000202227	2	48501922	48502024	RNU6-282P
ENSG00000206915	2	49233794	49233899	RNU6-439P
ENSG00000207456	2	53570374	53570480	RNU6-997P
ENSG00000252934	2	54166944	54167007	RNU7-172P
ENSG00000252507	2	54850289	54850352	RNU7-81P
ENSG00000200086	2	55014418	55014521	RNU6-433P
