ID	chrom	start	end	Name
MI0022705	1	17369	17436	hsa-mir-6859-1
MI0006363	1	30366	30503	hsa-mir-1302-2
MI0026420	1	187891	187958	hsa-mir-6859-2
MI0039740	1	632615	632685	hsa-mir-12136
MI0000342	1	1167104	1167198	hsa-mir-200b
MI0000737	1	1167863	1167952	hsa-mir-200a
MI0001641	1	1169005	1169087	hsa-mir-429
MI0022571	1	1296110	1296170	hsa-mir-6726
MI0022572	1	1312502	1312566	hsa-mir-6727
MI0022653	1	1339650	1339708	hsa-mir-6808
MI0015861	1	3127975	3128035	hsa-mir-4251
MI0003556	1	3560695	3560790	hsa-mir-551a
MI0017322	1	5862672	5862741	hsa-mir-4689
MI0015864	1	6429834	6429896	hsa-mir-4252
MI0022573	1	8866502	8866590	hsa-mir-6728
MI0000268	1	9151668	9151777	hsa-mir-34a
MI0019304	1	9967381	9967458	hsa-mir-5697
MI0022574	1	12029158	12029222	hsa-mir-6729
MI0025516	1	12166943	12167038	hsa-mir-7846
MI0017259	1	12191713	12191773	hsa-mir-4632
MI0022575	1	12578957	12579023	hsa-mir-6730
MI0016076	1	16858949	16859021	hsa-mir-3675
MI0016990	1	17277889	17277975	hsa-mir-3972
MI0017328	1	18883202	18883275	hsa-mir-4695
MI0006352	1	18897071	18897148	hsa-mir-1290
MI0020361	1	20633679	20633788	hsa-mir-6084
MI0006390	1	20988314	20988432	hsa-mir-1256
MI0016754	1	22266239	22266300	hsa-mir-4418
MI0021271	1	22633258	22633366	hsa-mir-6127
MI0017316	1	22719517	22719598	hsa-mir-4684
MI0015860	1	22863159	22863226	hsa-mir-4253
MI0014127	1	23044305	23044372	hsa-mir-3115
MI0016756	1	23929070	23929147	hsa-mir-378f
MI0022576	1	24919345	24919416	hsa-mir-6731
MI0016764	1	25023503	25023586	hsa-mir-4425
MI0016423	1	25906362	25906454	hsa-mir-3917
MI0009986	1	26554542	26554593	hsa-mir-1976
MI0016757	1	30739156	30739232	hsa-mir-4420
MI0015862	1	31758660	31758735	hsa-mir-4254
MI0019142	1	32086949	32087007	hsa-mir-5585
MI0015995	1	33332393	33332492	hsa-mir-3605
MI0003557	1	34669599	34669694	hsa-mir-552
MI0015863	1	37161563	37161634	hsa-mir-4255
MI0022577	1	37480230	37480289	hsa-mir-6732
MI0019136	1	37500935	37500994	hsa-mir-5581
MI0016060	1	38089231	38089329	hsa-mir-3659
MI0000749	1	40754355	40754446	hsa-mir-30e
MI0000736	1	40757284	40757372	hsa-mir-30c-1
MI0022578	1	43171652	43171712	hsa-mir-6733
MI0022579	1	43364648	43364715	hsa-mir-6734
MI0022580	1	43448539	43448611	hsa-mir-6735
MI0020356	1	43838622	43838683	hsa-mir-6079
MI0019141	1	44545493	44545552	hsa-mir-5584
MI0016758	1	51059837	51059905	hsa-mir-4421
MI0022211	1	51060018	51060103	hsa-mir-6500
MI0003941	1	51836344	51836402	hsa-mir-761
MI0017426	1	54054079	54054154	hsa-mir-4781
MI0016759	1	55225641	55225723	hsa-mir-4422
MI0017345	1	59733227	59733296	hsa-mir-4711
MI0039734	1	61846075	61846176	hsa-mir-12132
MI0014128	1	62078786	62078859	hsa-mir-3116-1
MI0014129	1	62078789	62078856	hsa-mir-3116-2
MI0020345	1	63326925	63326984	hsa-mir-6068
MI0017441	1	64579847	64579923	hsa-mir-4794
MI0016072	1	65057755	65057842	hsa-mir-3671
MI0000103	1	65058434	65058508	hsa-mir-101-1
MI0014130	1	66628440	66628517	hsa-mir-3117
MI0006397	1	68183518	68183610	hsa-mir-1262
MI0000483	1	71067631	71067716	hsa-mir-186
MI0023616	1	77060143	77060202	hsa-mir-7156
MI0016760	1	85133794	85133873	hsa-mir-4423
MI0025526	1	86357632	86357687	hsa-mir-7856
MI0005567	1	93846832	93846911	hsa-mir-760
MI0039735	1	94543702	94543779	hsa-mir-12133
MI0012063	1	98045242	98045351	hsa-mir-2682
MI0000454	1	98046070	98046171	hsa-mir-137
MI0003558	1	100281241	100281308	hsa-mir-553
MI0025522	1	107897223	107897304	hsa-mir-7852
MI0000239	1	109598893	109598967	hsa-mir-197
MI0015855	1	112461770	112461833	hsa-mir-4256
MI0036558	1	112882050	112882129	hsa-mir-11399
MI0016762	1	116560024	116560111	hsa-mir-548ac
MI0003776	1	116671746	116671817	hsa-mir-320b-1
MI0005767	1	117094643	117094728	hsa-mir-942
MI0022581	1	145850587	145850645	hsa-mir-6736
MI0017976	1	148334479	148334554	hsa-mir-5087
MI0020354	1	148388282	148388363	hsa-mir-6077
MI0022725	1	150492345	150492410	hsa-mir-6878
MI0015856	1	150551929	150552014	hsa-mir-4257
MI0003559	1	151545796	151545891	hsa-mir-554
MI0025919	1	153689705	153689793	hsa-mir-8083
MI0022582	1	153962351	153962420	hsa-mir-6737
MI0019305	1	154104521	154104592	hsa-mir-5698
MI0005545	1	154193665	154193743	hsa-mir-190b
MI0015857	1	154975693	154975783	hsa-mir-4258
MI0003560	1	155195177	155195272	hsa-mir-92b
MI0003561	1	155346350	155346445	hsa-mir-555
MI0022583	1	155951273	155951336	hsa-mir-6738
MI0000466	1	156420341	156420429	hsa-mir-9-1
MI0005116	1	156936131	156936244	hsa-mir-765
MI0015858	1	159899979	159900079	hsa-mir-4259
MI0018166	1	161227186	161227261	hsa-mir-5187
MI0017282	1	162157107	162157182	hsa-mir-4654
MI0003562	1	162342546	162342640	hsa-mir-556
MI0016058	1	165907921	165907976	hsa-mir-3658
MI0005713	1	166154743	166154798	hsa-mir-921
MI0006436	1	167998660	167998726	hsa-mir-1255b-2
MI0003563	1	168375524	168375621	hsa-mir-557
MI0014134	1	170151378	170151462	hsa-mir-3119-1
MI0014135	1	170151378	170151462	hsa-mir-3119-2
MI0006357	1	171101728	171101806	hsa-mir-1295a
MI0019146	1	171101739	171101798	hsa-mir-1295b
MI0000290	1	172138798	172138907	hsa-mir-214
MI0014136	1	172138808	172138888	hsa-mir-3120
MI0000281	1	172144535	172144644	hsa-mir-199a-2
MI0032314	1	175968370	175968479	hsa-mir-1843
MI0003123	1	177029363	177029445	hsa-mir-488
MI0016763	1	178677749	178677834	hsa-mir-4424
MI0039718	1	179803924	179804025	hsa-mir-12116
MI0014137	1	180438314	180438390	hsa-mir-3121
MI0016765	1	192716328	192716390	hsa-mir-4426
MI0006425	1	193136503	193136583	hsa-mir-1278
MI0017372	1	196582413	196582481	hsa-mir-4735
MI0000270	1	198858873	198858982	hsa-mir-181b-1
MI0000289	1	198859044	198859153	hsa-mir-181a-1
MI0018170	1	201719508	201719627	hsa-mir-5191
MI0006321	1	201808611	201808702	hsa-mir-1231
