ensembl_id	chrom	start	end	name
ENSG00000252956	1	9437669	9437778	RNA5SP40
ENSG00000222952	1	13623184	13623284	RNA5SP41
ENSG00000201148	1	34112949	34113063	RNA5SP42
ENSG00000252368	1	37264677	37264786	RNA5SP43
ENSG00000222378	1	39154164	39154296	RNA5SP44
ENSG00000252563	1	41466937	41467028	RNA5SP45
ENSG00000199240	1	43196417	43196536	RNA5SP46
ENSG00000253039	1	44932323	44932431	RNA5SP47
ENSG00000200839	1	51973410	51973535	RNA5SP48
ENSG00000252259	1	63186336	63186450	RNA5SP49
ENSG00000200601	1	73749517	73749623	RNA5SP50
ENSG00000251785	1	77614869	77614952	RNA5SP20
ENSG00000222849	1	77779904	77779999	RNA5SP21
ENSG00000202263	1	78094807	78094915	RNA5SP22
ENSG00000212308	1	78375164	78375268	RNA5SP23
ENSG00000201620	1	85883680	85883798	RNA5SP51
ENSG00000199318	1	87453240	87453373	RNA5SP52
ENSG00000212601	1	93488333	93488452	RNA5SP53
ENSG00000252760	1	111041834	111041925	RNA5SP54
ENSG00000252510	1	116962347	116962471	RNA5SP55
ENSG00000222209	1	118264372	118264489	RNA5SP56
ENSG00000252830	1	143439605	143439714	5S_rRNA
ENSG00000276442	1	144265217	144265326	5S_rRNA
ENSG00000222854	1	144701050	144701159	RNA5SP59
ENSG00000274408	1	146539541	146539663	5S_rRNA
ENSG00000238765	1	148193716	148193838	RNA5SP57
ENSG00000222552	1	159178473	159178559	RNA5SP60
ENSG00000252262	1	162338643	162338742	RNA5SP61
ENSG00000200327	1	163468496	163468605	RNA5SP62
ENSG00000212527	1	163509484	163509595	RNA5SP63
ENSG00000207341	1	166042244	166042350	RNA5SP64
ENSG00000200036	1	167005959	167006077	RNA5SP65
ENSG00000252987	1	169067264	169067364	RNA5SP66
ENSG00000252231	1	173921070	173921200	RNA5SP67
ENSG00000200755	1	173969318	173969436	RNA5SP68
ENSG00000201347	1	178560913	178561029	RNA5SP69
ENSG00000252977	1	181771566	181771644	RNA5SP70
ENSG00000199837	1	182944365	182944490	RNA5SP71
ENSG00000201312	1	185014951	185015067	RNA5SP72
ENSG00000252553	1	189666149	189666256	RNA5SP73
ENSG00000200408	1	204562413	204562521	RNA5SP74
ENSG00000252650	1	204707320	204707430	RNA5SP75
ENSG00000274059	1	207708898	207708981	5S_rRNA
ENSG00000252086	1	219761789	219761875	RNA5SP76
ENSG00000202264	1	227561181	227561300	RNA5SP77
ENSG00000202056	1	228555793	228555901	RNA5SP19
ENSG00000251823	1	228558296	228558339	RNA5SP162
ENSG00000199352	1	228610268	228610386	RNA5S1
ENSG00000201588	1	228612509	228612627	RNA5S2
ENSG00000199337	1	228614750	228614868	RNA5S3
ENSG00000200381	1	228616991	228617109	RNA5S4
ENSG00000199396	1	228619232	228619350	RNA5S5
ENSG00000200624	1	228621447	228621565	RNA5S6
