ensembl_id	chrom	start	end	name
ENSG00000241860	1	141474	173862	RP11-34P13.13
ENSG00000228794	1	825138	859446	LINC01128
ENSG00000224870	1	1399522	1402046	RP4-758J18.2
ENSG00000268575	1	1702736	1737688	RP1-283E3.8
ENSG00000284543	1	31506226	31583306	LINC01226
ENSG00000241014	1	34974356	34985313	RP11-244H3.1
ENSG00000273637	1	38839333	38874494	RP5-864K19.7
ENSG00000224863	1	46446673	46451281	LINC01398
ENSG00000224609	1	59131936	59208121	HSD52
ENSG00000237853	1	61248945	61253510	NFIA-AS1
ENSG00000224209	1	63159087	63317274	LINC00466
ENSG00000226891	1	64972225	65002489	LINC01359
ENSG00000229956	1	71081324	71489976	ZRANB2-AS2
ENSG00000237413	1	78229599	78369464	MGC27382
ENSG00000233593	1	90782983	90851657	RP4-665J23.1
ENSG00000223745	1	93262186	93346025	CCDC18-AS1
ENSG00000224699	1	110347116	110443817	LAMTOR5-AS1
ENSG00000283999	1	110473756	110488663	RP11-470L19.7
ENSG00000203865	1	116392247	116418622	ATP1A1-AS1
ENSG00000273213	1	143904301	143905964	RP5-998N21.10
ENSG00000273071	1	147173186	147252659	RP11-337C18.10
ENSG00000274020	1	148290889	148519604	LINC01138
ENSG00000203804	1	150560202	150574552	ADAMTSL4-AS1
ENSG00000271853	1	153626332	153634340	RP1-178F15.5
ENSG00000273112	1	161513176	161605099	RP11-25K21.6
ENSG00000234741	1	173863900	173868882	GAS5
ENSG00000254154	1	177928788	178038007	RP4-798P15.3
ENSG00000232860	1	183460874	183472265	SMG7-AS1
ENSG00000243323	1	202168051	202189455	PTPRVP
ENSG00000284486	1	206767602	206770575	RP11-262N9.3
ENSG00000230937	1	209428820	209432838	MIR205HG
ENSG00000230461	1	213817751	213988508	PROX1-AS1
ENSG00000227953	1	246776013	246792385	LINC01341
ENSG00000239395	1	247711813	247723764	RP11-634B7.5
ENSG00000228643	2	286419	301515	AC079779.4
ENSG00000230090	2	5618327	5691118	AC108025.2
ENSG00000232044	2	5932687	6001275	LINC01105
ENSG00000228203	2	6912277	6918709	RNF144A-AS1
ENSG00000229727	2	7421261	7450254	AC013460.1
ENSG00000242136	2	9103440	9105114	RP11-734K21.2
ENSG00000225649	2	12966784	13007013	AC064875.2
ENSG00000205500	2	26984776	27014612	AC013472.3
ENSG00000259080	2	27583046	27635174	RP11-158I13.2
ENSG00000205054	2	45164870	45323295	LINC01121
ENSG00000271894	2	56147630	56386171	RP11-482H16.1
ENSG00000274769	2	61115787	61164825	RP11-493E12.3
ENSG00000212978	2	61141592	61144969	AC016747.3
ENSG00000204929	2	65436711	66084639	AC074391.1
ENSG00000179818	2	69962263	70103220	PCBP1-AS1
ENSG00000281195	2	71373938	71376320	ZNF638-IT1
ENSG00000272702	2	73113018	73115907	RP11-44N22.3
ENSG00000240040	2	88811186	88861563	AC096579.15
ENSG00000204685	2	96208416	96242621	STARD7-AS1
ENSG00000233639	2	104807572	104853183	LINC01158
ENSG00000229743	2	104865497	104872595	LINC01159
ENSG00000283684	2	109937438	109985124	AC013271.5
ENSG00000282304	2	110245591	110285856	RP11-1223D19.3
ENSG00000273471	2	110386411	110433673	RP13-1039J1.4
ENSG00000189223	2	113211522	113276581	PAX8-AS1
ENSG00000282944	2	130681228	130691691	RP11-1216L17.1
ENSG00000224490	2	165933857	165949891	TTC21B-AS1
ENSG00000227617	2	168771953	168786961	CERS6-AS1
ENSG00000231858	2	191021526	191032314	AC067945.4
ENSG00000232732	2	199867396	199911159	AC073043.1
ENSG00000284084	2	200695723	200748040	AOX3P-AOX2P
ENSG00000279220	2	206203376	206266243	GPR1-AS
ENSG00000232485	2	216479030	216498761	AC098820.3
ENSG00000225062	2	218366665	218367835	CATIP-AS1
ENSG00000224376	2	231388976	231394991	AC017104.6
ENSG00000222001	2	233012614	233015885	AC106876.2
ENSG00000235726	2	234834315	234913384	AC010148.1
ENSG00000186235	2	238224552	238231677	AC016757.3
ENSG00000225057	2	238231684	238255633	AC096574.4
ENSG00000218416	2	240449315	240456714	PP14571
ENSG00000233392	2	240954617	240967451	AC104809.4
ENSG00000233806	2	241881363	242078722	LINC01237
ENSG00000224318	3	195758	197341	CHL1-AS2
ENSG00000228956	3	18445024	18920401	SATB1-AS1
ENSG00000231304	3	20174244	21145967	SGO1-AS1
ENSG00000228791	3	24494087	24681711	THRB-AS1
ENSG00000230891	3	25858533	25873700	LINC00692
ENSG00000235257	3	37745432	37861780	ITGA9-AS1
ENSG00000280739	3	40173145	40309698	EIF1B-AS1
ENSG00000273328	3	42809414	42908105	RP11-141M3.6
ENSG00000259970	3	49684480	49684983	AC099668.5
ENSG00000272762	3	51961212	51974031	RP11-155D18.12
ENSG00000242797	3	52288580	52299067	GLYCTK-AS1
ENSG00000241472	3	62260865	62369330	PTPRG-AS1
ENSG00000242770	3	112802478	112812819	RP11-180K7.1
ENSG00000241288	3	125827238	125916384	RP11-379B18.5
ENSG00000250608	3	131325092	131381475	RP11-933H2.4
ENSG00000240086	3	135356067	135439888	RP11-657O9.1
ENSG00000241679	3	143123362	143131893	RP11-80H8.4
ENSG00000238755	3	153384934	153980186	LINC02006
ENSG00000243069	3	154024401	154121332	ARHGEF26-AS1
