ensembl_id	chrom	start	end	name
ENSG00000188290	1	934342	935551	HES4
ENSG00000157933	1	2160133	2241558	SKI
ENSG00000197921	1	2460184	2461683	HES5
ENSG00000142611	1	2985731	3355185	PRDM16
ENSG00000078900	1	3569083	3652765	TP73
ENSG00000173673	1	6304251	6305638	HES3
ENSG00000069812	1	6472478	6484729	HES2
ENSG00000204859	1	6640060	6649340	ZBTB48
ENSG00000041988	1	6684925	6695646	THAP3
ENSG00000171735	1	6845383	7829766	CAMTA1
ENSG00000175279	1	10490158	10512210	APITD1
ENSG00000130940	1	10696661	10856706	CASZ1
ENSG00000116731	1	14026692	14151574	PRDM2
ENSG00000065526	1	16174358	16266955	SPEN
ENSG00000116809	1	16268364	16302626	ZBTB17
ENSG00000009709	1	18957499	19075360	PAX7
ENSG00000184677	1	22778343	22857650	ZBTB40
ENSG00000125945	1	23685941	23695934	ZNF436
ENSG00000007968	1	23832922	23857711	E2F2
ENSG00000158055	1	24645811	24690972	GRHL3
ENSG00000020633	1	25226002	25291611	RUNX3
ENSG00000176083	1	26688125	26701012	ZNF683
ENSG00000131914	1	26737268	26756213	LIN28A
ENSG00000126705	1	27860546	27930941	AHDC1
ENSG00000162419	1	28995243	29045865	GMEB1
ENSG00000273274	1	32930669	32962287	ZBTB8B
ENSG00000160062	1	33005027	33071540	ZBTB8A
ENSG00000160094	1	33722145	33766320	ZNF362
ENSG00000121903	1	33938245	33962107	ZSCAN20
ENSG00000116819	1	36038970	36060929	TFAP2E
ENSG00000188786	1	38275239	38325291	MTF1
ENSG00000185668	1	38509523	38512449	POU3F1
ENSG00000163909	1	40089825	40105616	HEYL
ENSG00000116990	1	40361098	40367927	MYCL
ENSG00000117000	1	40627044	40706593	RLF
ENSG00000187801	1	40915773	40929390	ZFP69B
ENSG00000187815	1	40942886	40962015	ZFP69
ENSG00000117010	1	40997232	41013841	ZNF684
ENSG00000066136	1	41157319	41237275	NFYC
ENSG00000010803	1	41492872	41707825	SCMH1
ENSG00000204060	1	41827593	41849262	FOXO6
ENSG00000127124	1	41972036	42501595	HIVEP3
ENSG00000198815	1	42642210	42801547	FOXJ3
ENSG00000065978	1	43148097	43168020	YBX1
ENSG00000164011	1	43312279	43318148	ZNF691
ENSG00000171872	1	44584521	44600812	KLF17
ENSG00000159588	1	46085716	46089728	CCDC17
ENSG00000159592	1	46092976	46153784	GPBP1L1
ENSG00000197587	1	46972667	46979898	DMBX1
ENSG00000162367	1	47681962	47697891	TAL1
ENSG00000186790	1	47881743	47883723	FOXE3
ENSG00000186564	1	47901688	47906363	FOXD2
ENSG00000142700	1	50883222	50889171	DMRTA2
ENSG00000143006	1	53925071	53933161	DMRTB1
ENSG00000174332	1	53971910	54199876	GLIS1
ENSG00000162601	1	59120411	59165763	MYSM1
ENSG00000177606	1	59246465	59249784	JUN
ENSG00000162599	1	61330930	61928465	NFIA
ENSG00000187140	1	63788729	63790797	FOXD3
ENSG00000162624	1	75594118	75627218	LHX8
ENSG00000036549	1	78028101	78149103	ZZZ3
ENSG00000137947	1	89318615	89357626	GTF2B
ENSG00000162664	1	90460670	90501090	ZNF326
ENSG00000143032	1	91177096	91182793	BARHL2
ENSG00000122482	1	91380859	91487828	ZNF644
ENSG00000162676	1	92940319	92952432	GFI1
ENSG00000143033	1	93544791	93604638	MTF2
ENSG00000117505	1	93811444	93835055	DR1
ENSG00000156150	1	110602616	110613321	ALX3
ENSG00000177551	1	116378998	116386537	NHLH2
ENSG00000092607	1	119425669	119532178	TBX15
ENSG00000143067	1	120162045	120190395	ZNF697
ENSG00000143437	1	150782181	150849243	ARNT
ENSG00000143379	1	150898738	150937213	SETDB1
ENSG00000143373	1	151254093	151264656	ZNF687
ENSG00000143390	1	151313116	151319832	RFX5
ENSG00000143365	1	151778547	151804347	RORC
ENSG00000143614	1	153777201	153895450	GATAD2B
ENSG00000143578	1	153940009	153946839	CREB3L4
ENSG00000160685	1	154975126	154990998	ZBTB7B
