ensembl_id	chrom	start	end	name
ENSG00000260920	1	40464319	40466767	RP1-228H13.5
ENSG00000227527	1	42335386	42338376	RP11-223A3.1
ENSG00000230728	1	54621477	54628438	RP11-240D10.4
ENSG00000260940	1	101243158	101243749	RP4-575N6.5
ENSG00000225113	1	109596225	109597781	RP5-1160K1.3
ENSG00000261654	1	110936369	110942353	RP11-96K19.4
ENSG00000260948	1	111431046	111433068	RP11-552M11.8
ENSG00000243960	1	111438638	111441364	RP11-552M11.4
ENSG00000260941	1	119597702	119599271	LINC00622
ENSG00000261662	1	119909255	119910613	RP5-1042I8.7
ENSG00000261716	1	149844498	149849024	RP11-196G18.22
ENSG00000261168	1	151130075	151131610	RP11-68I18.10
ENSG00000260766	1	160024953	160026794	RP11-226L15.5
ENSG00000261060	1	179590372	179591305	RP11-545A16.4
ENSG00000284376	1	211108445	211207138	RP11-543B16.3
ENSG00000261314	1	211583015	211583725	RP11-359E8.5
ENSG00000228470	1	214344172	214357615	RP11-176D17.3
ENSG00000248322	1	225936411	225937557	RP4-559A3.6
ENSG00000224879	2	79158374	79185523	AC011754.1
ENSG00000269707	2	104853285	104926052	RP11-13J10.1
ENSG00000244125	2	142131178	142137830	AC078882.1
ENSG00000227400	2	153421616	153593288	AC012501.2
ENSG00000213963	2	177283508	177392691	AC074286.1
ENSG00000223523	2	188598791	188839445	AC079613.1
ENSG00000273118	2	212581357	213021545	AC079610.1
ENSG00000261338	2	218255319	218257366	RP11-378A13.1
ENSG00000261829	2	231052040	231052637	RP11-223I10.1
ENSG00000261096	2	231809846	231812352	RP11-690I21.2
ENSG00000261468	3	30697661	30699576	RP11-1024P17.1
ENSG00000260391	3	124723788	124726325	RP11-71H17.7
ENSG00000261167	3	131455126	131458598	RP11-517B11.7
ENSG00000244327	3	142465315	142472337	RP11-383G6.3
ENSG00000261051	3	146059585	146061679	RP11-274H2.5
ENSG00000242808	3	180989770	181836880	SOX2-OT
ENSG00000244675	3	194496317	194501503	AC108676.1
ENSG00000261643	4	3503597	3504457	RP11-529E10.6
ENSG00000187904	4	6995341	6998958	AC097382.5
ENSG00000261490	4	10068089	10073019	RP11-448G15.3
ENSG00000260296	4	40166675	40167831	RP11-395I6.3
ENSG00000260878	4	46243548	46244215	RP11-320H14.1
ENSG00000260918	4	47431960	47438959	RP11-731J8.2
ENSG00000254044	4	97334635	97633823	RP11-681L8.1
ENSG00000260244	4	155734448	155737062	RP11-588K22.2
ENSG00000261434	5	195778	196341	CTD-2083E4.7
ENSG00000248525	5	9621377	9658458	CTD-2001E22.1
ENSG00000177738	5	43014414	43067419	CTD-2201E18.3
