ensembl_id	chrom	start	end	name
ENSG00000225931	1	2566410	2569888	RP3-395M20.7
ENSG00000279839	1	3205988	3208664	RP11-193J6.1
ENSG00000280113	1	9826289	9828271	RP11-84A14.7
ENSG00000280222	1	18109389	18115861	RP11-174G17.3
ENSG00000279625	1	22364630	22366482	RP11-415K20.2
ENSG00000279443	1	28544460	28546542	RP4-669K10.8
ENSG00000278966	1	32973553	32974463	RP5-1174N9.2
ENSG00000278997	1	33141871	33143230	RP11-131M11.2
ENSG00000279179	1	33162851	33166298	RP11-131M11.3
ENSG00000279667	1	40473055	40474059	RP11-656D10.7
ENSG00000279096	1	48102068	48104736	RP5-1024N4.6
ENSG00000279214	1	48262230	48263179	RP5-1024N4.5
ENSG00000279324	1	49994318	49996218	RP11-93G23.2
ENSG00000280378	1	54033126	54034880	RP4-758J24.6
ENSG00000278967	1	62607766	62609584	RP5-849H19.3
ENSG00000280317	1	72979014	72979314	RP11-25L19.1
ENSG00000280099	1	85152487	85154203	RP11-33E12.2
ENSG00000279778	1	87805286	87808372	RP11-60A14.1
ENSG00000280040	1	98660388	98661059	RP11-296E3.2
ENSG00000280186	1	108200413	108202743	RP11-483I13.6
ENSG00000279513	1	117493515	117495006	RP4-675C20.4
ENSG00000281741	1	120913151	120914238	CH17-118O6.6
ENSG00000281571	1	145214851	145215938	CH17-195P21.2
ENSG00000280649	1	148458814	148459871	CH17-172B3.1
ENSG00000279430	1	159910094	159910554	RP11-190A12.9
ENSG00000279061	1	172752586	172752924	RP3-332O11.2
ENSG00000279838	1	185292384	185294372	RP4-635A23.6
ENSG00000279401	1	185518651	185520986	GS1-204I12.3
ENSG00000279946	1	206541758	206544892	CH17-76K2.6
ENSG00000279333	1	210678315	210681932	RP11-75I2.3
ENSG00000280157	1	228121523	228123771	RP11-520H14.7
ENSG00000279306	1	228486188	228487120	RP5-915N17.11
ENSG00000279774	1	244064330	244067909	RP11-278H7.5
ENSG00000280360	2	687799	688348	RP11-455F15.1
ENSG00000279663	2	16541690	16545695	RP11-542H15.1
ENSG00000280390	2	21023496	21024170	AC010872.1
ENSG00000279526	2	23616499	23617987	AC011239.2
ENSG00000280154	2	30408170	30408346	RP11-182E7.1
ENSG00000278908	2	30677762	30679895	RP11-523J2.1
ENSG00000279544	2	32563328	32566436	AL133243.4
ENSG00000279519	2	36839922	36842539	RP11-288C18.1
ENSG00000280276	2	38121935	38123881	RP11-314C9.1
ENSG00000278957	2	44927914	44928396	RP11-89K21.2
ENSG00000279254	2	46668870	46670778	RP11-536C12.1
ENSG00000279485	2	63517892	63519268	RP11-391A7.1
ENSG00000280257	2	65790039	65793533	RP11-340F16.2
ENSG00000280037	2	73761269	73761781	RP11-434P11.1
